candidate_index,candidate_id,architecture,activation,requested_activation,hidden_dims,hidden_activations,parameter_count,epochs,best_epoch,final_train_loss,final_train_eval_loss,best_val_loss,best_val_steer_mae,best_val_gas_accuracy,best_val_brake_accuracy,best_val_gas_bce,best_val_brake_bce,best_val_gas_mae,best_val_brake_mae,train_samples,val_samples,wall_seconds,random_seed
22,c022_arch_32x16_act_relu_tanh,32x16,"relu,tanh","relu,tanh","[32, 16]","[""relu"", ""tanh""]",1699,120,119,0.06622635524301922,0.066093853042307,0.0669091884880506,0.22468175376882252,0.9221771965371155,0.9607662552956345,0.20321513056689192,0.12060085373219918,0.13222620442858232,0.07797230249567572,43898,10858,91.61006789997919,52973
23,c023_arch_32x16_act_tanh_tanh,32x16,"tanh,tanh","tanh,tanh","[32, 16]","[""tanh"", ""tanh""]",1699,120,120,0.07216284965488752,0.07201741110229498,0.0705138835887879,0.23797261155009555,0.9180327868852459,0.9555166697365998,0.21482598133828457,0.12635130082118312,0.14206154093072215,0.07691362106595871,43898,10858,90.48147370002698,52974
24,c024_arch_32x16_act_sigmoid_sigmoid,32x16,"sigmoid,sigmoid","sigmoid,sigmoid","[32, 16]","[""sigmoid"", ""sigmoid""]",1699,120,120,0.10194516340910077,0.10180983195860645,0.09759381023295832,0.26742593059444936,0.8621293055811383,0.874194142567692,0.3679686015999148,0.33414932394317554,0.24058671277802082,0.20800743025735632,43898,10858,90.73224029998528,52975
25,c025_arch_48x24_act_relu_relu,48x24,"relu,relu","relu,relu","[48, 24]","[""relu"", ""relu""]",2931,120,119,0.0573095999302704,0.05720671456646792,0.06059922946681852,0.21606429573097025,0.9397679130594953,0.966568428808252,0.1775619667040575,0.10712360769241286,0.09876692907699104,0.051031338573490244,43898,10858,92.61922749999212,52976
26,c026_arch_48x24_act_relu_tanh,48x24,"relu,tanh","relu,tanh","[48, 24]","[""relu"", ""tanh""]",2931,120,120,0.05857818390563238,0.05862149230728845,0.06177375618238699,0.21626660889256483,0.9378338552219562,0.9664763308159882,0.16413726216413013,0.10626891595176799,0.09845593252724806,0.058534786261605784,43898,10858,92.71640249999473,52977
27,c027_arch_48x24_act_tanh_tanh,48x24,"tanh,tanh","tanh,tanh","[48, 24]","[""tanh"", ""tanh""]",2931,120,120,0.06461241098328806,0.06446946155938577,0.06558728392918173,0.22540699735182296,0.9376496592374286,0.9615951372260084,0.16908851296099361,0.12013522035883681,0.10479000229975162,0.06084051042614029,43898,10858,89.99519859999418,52978
28,c028_arch_48x24_act_sigmoid_sigmoid,48x24,"sigmoid,sigmoid","sigmoid,sigmoid","[48, 24]","[""sigmoid"", ""sigmoid""]",2931,120,120,0.09208064861254484,0.09187600402785812,0.0880278763007033,0.26573303975899104,0.8727205746914717,0.8747467305212746,0.2953022963699001,0.24895451577861658,0.21298958087498848,0.18356087151142877,43898,10858,92.32392369996523,52979
29,c029_arch_64x32_act_relu_relu,64x32,"relu,relu","relu,relu","[64, 32]","[""relu"", ""relu""]",4419,120,120,0.053179937175725105,0.053037701089669535,0.058384078548118806,0.20573946098570756,0.9445570086572113,0.9667526247927796,0.1690227559838512,0.10812536447960318,0.08772242418374557,0.047865768716488566,43898,10858,86.8491856000037,52980
30,c030_arch_64x32_act_relu_tanh,64x32,"relu,tanh","relu,tanh","[64, 32]","[""relu"", ""tanh""]",4419,120,120,0.055951283545644846,0.05655865373654329,0.05880697305678092,0.2089101749574047,0.9477804383864432,0.9706207404678578,0.15402975203604916,0.09708289165570605,0.08707213529150094,0.04957310326478389,43898,10858,87.22044609999284,52981
31,c031_arch_64x32_act_tanh_tanh,64x32,"tanh,tanh","tanh,tanh","[64, 32]","[""tanh"", ""tanh""]",4419,120,117,0.0643538251621717,0.06423878634911234,0.06530993136198707,0.2256965517756205,0.9399521090440228,0.962976607109965,0.16866006111655144,0.1160554462516477,0.10041671362255221,0.056697042327841514,43898,10858,94.83409129997017,52982
32,c032_arch_64x32_act_sigmoid_sigmoid,64x32,"sigmoid,sigmoid","sigmoid,sigmoid","[64, 32]","[""sigmoid"", ""sigmoid""]",4419,120,120,0.08562641059323385,0.08548552353002796,0.08115609725643903,0.26131353907041466,0.9102965555350894,0.9430834407809909,0.26236517290138894,0.1757310413045105,0.183541079212188,0.13046412486401157,43898,10858,90.69361670000944,52983
33,c033_arch_32x16x8_act_relu_relu_relu,32x16x8,"relu,relu,relu","relu,relu,relu","[32, 16, 8]","[""relu"", ""relu"", ""relu""]",1811,120,119,0.06667063967030958,0.06663571565405069,0.0667879880847007,0.2177906384189653,0.9192300607846748,0.954595689813962,0.21096033899795946,0.13187678687193485,0.13047010583714197,0.07221230636711914,43898,10858,91.71129720000317,52984
34,c034_arch_32x16x8_act_tanh_tanh_tanh,32x16x8,"tanh,tanh,tanh","tanh,tanh,tanh","[32, 16, 8]","[""tanh"", ""tanh"", ""tanh""]",1811,120,120,0.06967481968173286,0.06962504138804888,0.0690810352874013,0.23100714438482858,0.9184932768465648,0.9550561797752809,0.21184258874684853,0.14451962532666007,0.13524407474435612,0.09955597345419276,43898,10858,92.34796759998426,52985
35,c035_arch_32x16x8_act_relu_relu_tanh,32x16x8,"relu,relu,tanh","relu,relu,tanh","[32, 16, 8]","[""relu"", ""relu"", ""tanh""]",1811,120,119,0.06529963459186312,0.06534646291728226,0.06443736249871578,0.22229145560876773,0.923558666421072,0.96334499907902,0.20669384779115918,0.12718693383119015,0.1351692142089574,0.08692537519588811,43898,10858,92.33245059999172,52986
36,c036_arch_32x16x8_act_sigmoid_sigmoid_sigmoid,32x16x8,"sigmoid,sigmoid,sigmoid","sigmoid,sigmoid,sigmoid","[32, 16, 8]","[""sigmoid"", ""sigmoid"", ""sigmoid""]",1811,120,118,0.10246917196838475,0.10241387325918502,0.09842240297815202,0.2642053789274757,0.8621293055811383,0.874194142567692,0.3887825005180512,0.36437342965728037,0.24388524194430375,0.21171922555481845,43898,10858,93.73660750000272,52987
37,c037_arch_128x64_act_relu_relu,128x64,"relu,relu","relu,relu","[128, 64]","[""relu"", ""relu""]",12931,120,114,0.048989127413041934,0.048650881868128874,0.05777606567538428,0.20121511900967318,0.9455700865721127,0.9666605268005157,0.17003945115082916,0.10977844586796602,0.08404086680894488,0.04523040805211667,43898,10858,102.9562203999958,52988
38,c038_arch_128x64_act_relu_tanh,128x64,"relu,tanh","relu,tanh","[128, 64]","[""relu"", ""tanh""]",12931,120,118,0.04839271789077985,0.04824080943343004,0.05627483719893638,0.1992847711742638,0.949069810278136,0.9731073862589795,0.16733211363453215,0.09819915259953778,0.08080692821761964,0.04379495061065286,43898,10858,91.69630260003032,52989
39,c039_arch_128x64_act_tanh_tanh,128x64,"tanh,tanh","tanh,tanh","[128, 64]","[""tanh"", ""tanh""]",12931,120,117,0.06112842774988198,0.0610469137860491,0.062402528311132965,0.21859596745703053,0.9423466568428808,0.9650948609320317,0.17094622345167446,0.11649240861612693,0.09240070454739233,0.05229721167707206,43898,10858,85.26019890001044,52990
40,c040_arch_128x64_act_sigmoid_sigmoid,128x64,"sigmoid,sigmoid","sigmoid,sigmoid","[128, 64]","[""sigmoid"", ""sigmoid""]",12931,120,120,0.0826392303491172,0.08254942160322594,0.07861152539559108,0.2583692251680788,0.9021919322158777,0.9525695339841591,0.23734568864474925,0.13613564446829238,0.15484067137277813,0.08347191690278769,43898,10858,85.84621989994776,52991
