timestamp_utc,generation,individual_index,finished,crashes,timeout,progress,discrete_progress,dense_progress,ranking_progress,distance,time,reward,fitness,ranking_key,selection_mode,selection_rank,selection_crowding,selection_objectives,selection_objective_names,evaluation_steps,evaluation_terminated,evaluation_truncated,evaluation_valid
2026-05-04T08:08:07Z,84,47,0,1,0,0.0,0.0,1.3793727329799106,1.3793727329799106,0.5647136569023132,2.009999990463257,1379370722978.9202,1379370722978.9202,"[0.0, 1.3793727329799106, -2.009999990463257, -1.0]",lexicographic,47,0.0,"[0.0, 1.3793727329799106, -2.009999990463257, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",232,1,0,1
2026-05-04T08:13:35Z,85,0,0,1,0,20.0,20.0,22.00106757027762,22.00106757027762,212.13937377929688,20.8700008392334,22001046700275.78,22001046700275.78,"[0.0, 22.00106757027762, -20.8700008392334, -1.0]",lexicographic,0,0.0,"[0.0, 22.00106757027762, -20.8700008392334, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",2406,1,0,1
2026-05-04T08:13:35Z,85,1,0,1,0,20.0,20.0,21.530026027134486,21.530026027134486,192.78346252441406,9.6899995803833,21530016337133.902,21530016337133.902,"[0.0, 21.530026027134486, -9.6899995803833, -1.0]",lexicographic,1,0.0,"[0.0, 21.530026027134486, -9.6899995803833, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1094,1,0,1
2026-05-04T08:13:35Z,85,2,0,1,0,14.285714285714285,14.285714285714285,15.204315185546873,15.204315185546873,129.30935668945312,7.150000095367432,15204308035545.777,15204308035545.777,"[0.0, 15.204315185546873, -7.150000095367432, -1.0]",lexicographic,2,0.0,"[0.0, 15.204315185546873, -7.150000095367432, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",810,1,0,1
2026-05-04T08:13:35Z,85,3,0,1,0,14.285714285714285,14.285714285714285,14.988561357770646,14.988561357770646,142.9633331298828,7.21999979019165,14988554137769.855,14988554137769.855,"[0.0, 14.988561357770646, -7.21999979019165, -1.0]",lexicographic,3,0.0,"[0.0, 14.988561357770646, -7.21999979019165, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",817,1,0,1
2026-05-04T08:13:35Z,85,4,0,1,0,14.285714285714285,14.285714285714285,14.601162501743861,14.601162501743861,136.59654235839844,5.539999961853027,14601156961742.9,14601156961742.9,"[0.0, 14.601162501743861, -5.539999961853027, -1.0]",lexicographic,4,0.0,"[0.0, 14.601162501743861, -5.539999961853027, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",636,1,0,1
2026-05-04T08:13:35Z,85,5,0,1,0,11.428571428571429,11.428571428571429,14.132189069475446,14.132189069475446,125.9009017944336,6.489999771118164,14132182579474.674,14132182579474.674,"[0.0, 14.132189069475446, -6.489999771118164, -1.0]",lexicographic,5,0.0,"[0.0, 14.132189069475446, -6.489999771118164, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",741,1,0,1
2026-05-04T08:13:35Z,85,6,0,1,0,11.428571428571429,11.428571428571429,14.112881251743861,14.112881251743861,123.84016418457031,7.28000020980835,14112873971742.652,14112873971742.652,"[0.0, 14.112881251743861, -7.28000020980835, -1.0]",lexicographic,6,0.0,"[0.0, 14.112881251743861, -7.28000020980835, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",841,1,0,1
2026-05-04T08:13:35Z,85,7,0,1,0,11.428571428571429,11.428571428571429,14.110570635114398,14.110570635114398,145.25320434570312,11.470000267028809,14110559165113.13,14110559165113.13,"[0.0, 14.110570635114398, -11.470000267028809, -1.0]",lexicographic,7,0.0,"[0.0, 14.110570635114398, -11.470000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1310,1,0,1
2026-05-04T08:13:35Z,85,8,0,1,0,11.428571428571429,11.428571428571429,14.015819004603793,14.015819004603793,122.89341735839844,6.210000038146973,14015812794602.754,14015812794602.754,"[0.0, 14.015819004603793, -6.210000038146973, -1.0]",lexicographic,8,0.0,"[0.0, 14.015819004603793, -6.210000038146973, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",706,1,0,1
