#{"t_start": 1777460467.4057462, "env_id": "None"}
r,l,t,episode_metrics
-974.473114,1844,767.56929,"{'term': -1.0, 'progress': 25.71428571428571, 'time': 18.739999771118164, 'distance': 252.882080078125, 'fitness': -974473114.2834255, 'fitness_delta_score': -974.4731142834255, 'last_fitness_delta_score': -974.4731142834255, 'last_fitness_delta_progress': 25.71428571428571, 'reward': -1000.0301000022888}"
-974.431114,1413,783.667248,"{'term': -1.0, 'progress': 25.71428571428571, 'time': 14.539999961853027, 'distance': 251.8845977783203, 'fitness': -974431114.2853328, 'fitness_delta_score': -974.4311142853328, 'last_fitness_delta_score': -974.4311142853328, 'last_fitness_delta_progress': 25.71428571428571, 'reward': -1000.0243000030517}"
-974.451014,1619,801.756927,"{'term': -1.0, 'progress': 25.71428571428571, 'time': 16.530000686645508, 'distance': 253.9794158935547, 'fitness': -974451014.2925807, 'fitness_delta_score': -974.4510142925807, 'last_fitness_delta_score': -974.4510142925807, 'last_fitness_delta_progress': 25.71428571428571, 'reward': -1000.0283000087737}"
-974.468714,1798,821.635787,"{'term': -1.0, 'progress': 25.71428571428571, 'time': 18.299999237060547, 'distance': 256.3656311035156, 'fitness': -974468714.2780849, 'fitness_delta_score': -974.4687142780849, 'last_fitness_delta_score': -974.4687142780849, 'last_fitness_delta_progress': 25.71428571428571, 'reward': -1000.035299987793}"
65.264286,4717,868.225117,"{'term': 0.0, 'progress': 65.71428571428571, 'time': 45.0, 'distance': 692.5787353515625, 'fitness': 65264285.71428571, 'fitness_delta_score': 65.2642857142857, 'last_fitness_delta_score': 65.2642857142857, 'last_fitness_delta_progress': 65.71428571428571, 'reward': -0.01889999389648267}"
-982.857143,1016,880.847557,"{'term': -1.0, 'progress': 17.142857142857142, 'time': 11.020000457763672, 'distance': 151.901611328125, 'fitness': -982857142.8571428, 'fitness_delta_score': -982.8571428571428, 'last_fitness_delta_score': -982.8571428571428, 'last_fitness_delta_progress': 17.142857142857142, 'reward': -999.9999999999999}"
-980.1366,1311,896.096344,"{'term': -1.0, 'progress': 20.0, 'time': 13.65999984741211, 'distance': 195.48153686523438, 'fitness': -980136599.9984741, 'fitness_delta_score': -980.1365999984741, 'last_fitness_delta_score': -980.1365999984741, 'last_fitness_delta_progress': 20.0, 'reward': -1000.0336999988556}"
-982.857143,1044,908.91778,"{'term': -1.0, 'progress': 17.142857142857142, 'time': 11.1899995803833, 'distance': 159.3796844482422, 'fitness': -982857142.8571428, 'fitness_delta_score': -982.8571428571428, 'last_fitness_delta_score': -982.8571428571428, 'last_fitness_delta_progress': 17.142857142857142, 'reward': -999.9999999999999}"
65.264186,4742,955.530442,"{'term': 0.0, 'progress': 65.71428571428571, 'time': 45.0099983215332, 'distance': 728.0671997070312, 'fitness': 65264185.73107038, 'fitness_delta_score': 65.26418573107037, 'last_fitness_delta_score': 65.26418573107037, 'last_fitness_delta_progress': 65.71428571428571, 'reward': -0.03219997406006314}"
79.55,4764,1002.129783,"{'term': 0.0, 'progress': 80.0, 'time': 45.0, 'distance': 923.1082153320312, 'fitness': 79550000.0, 'fitness_delta_score': 79.55, 'last_fitness_delta_score': 79.55, 'last_fitness_delta_progress': 80.0, 'reward': -0.011800003051760655}"
-909.007929,4668,1047.371036,"{'term': -1.0, 'progress': 91.42857142857143, 'time': 43.650001525878906, 'distance': 1073.2567138671875, 'fitness': -909007928.5866873, 'fitness_delta_score': -909.0079285866873, 'last_fitness_delta_score': -909.0079285866873, 'last_fitness_delta_progress': 91.42857142857143, 'reward': -1000.0027000045776}"
