generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_term,best_reward,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time
83,9.204174131633275e+18,8.571428571428571,9.204175131661552,9.204175131661552,28.277026408775207,-1,9204174131633.275,5.0,5.201906391552516,5.201906391552516,5201905454045.579,6.937696225011048
84,1.4285713285670937e+19,14.285714285714285,14.285714285714285,14.285714285714285,43.34712134823336,-1,14285713285670.938,5.625,5.813026257923672,5.813026257923672,5813025320415.966,7.705305189490756
85,9.4633582877766e+18,8.571428571428571,9.46335928780692,9.46335928780692,30.32110723377512,-1,9463358287776.6,5.5357142857142865,5.837937678609576,5.837937678609576,5837936741102.282,7.2933341573998565
86,8.935962766890942e+18,8.571428571428571,8.935963766915457,8.935963766915457,24.514327005483164,-1,8935962766890.943,4.732142857142858,4.958094954490662,4.958094954490662,4958094016984.202,6.459905745399418
87,9.074428103280588e+18,8.571428571428571,9.074429103306361,9.074429103306361,25.772952237622878,-1,9074428103280.588,5.0,5.343860898699079,5.343860898699079,5343859961192.275,6.803778297507552
88,9.068738754787189e+18,8.571428571428571,9.068739754813059,9.068739754813059,25.869916536562418,-1,9068738754787.19,5.982142857142858,6.094158632414682,6.094158632414682,6094157694907.854,6.8281043455349355
89,9.03581246781773e+18,8.571428571428571,9.035813467843191,9.035813467843191,25.460672154850922,-1,9035812467817.73,5.357142857142857,5.693021501813616,5.693021501813616,5693020564306.863,6.752487661616602
90,9.65313675195638e+18,8.571428571428571,9.653137751988002,9.653137751988002,31.620137854100154,-1,9653136751956.379,5.0,5.234459979193551,5.234459979193551,5234459041686.791,6.760477995286649
91,9.060888652770814e+18,8.571428571428571,9.060889652797153,9.060889652797153,26.3377954467851,-1,9060888652770.814,5.357142857142858,5.493782418114797,5.493782418114797,5493781480608.053,6.745688323848363
92,9.476055780103743e+18,8.571428571428571,9.476056780133929,9.476056780133929,30.18506975118613,-1,9476055780103.744,5.178571428571429,5.440515790666852,5.440515790666852,5440514853160.292,6.56087392542932
93,9.23180343897238e+18,8.571428571428571,9.23180443899972,9.23180443899972,27.340025619814078,-1,9231803438972.379,5.178571428571429,5.398813571248736,5.398813571248736,5398812633742.113,6.62209818997971
94,9.5665512983787e+18,8.571428571428571,9.566552298409599,9.566552298409599,30.898778576376532,-1,9566551298378.701,4.732142857142857,4.916221243994577,4.916221243994577,4916220306487.622,6.953501524761157
95,9.209591001750912e+18,8.571428571428571,9.20959200177874,9.20959200177874,27.827264669585727,-1,9209591001750.912,4.910714285714286,5.104621733937945,5.104621733937945,5104620796431.395,6.55008470527426
96,9.53402827940451e+18,8.571428571428571,9.534029279436385,9.534029279436385,31.87694338143122,-1,9534028279404.51,5.267857142857142,5.403790559087481,5.403790559087481,5403789621580.639,6.842211885219785
97,9.314219973395278e+18,8.571428571428571,9.31422097342355,9.31422097342355,28.272630658344916,-1,9314219973395.277,5.178571428571429,5.372380784579686,5.372380784579686,5372379878321.686,7.999678933749377
98,8.828568139728606e+18,8.571428571428571,8.82856913975307,8.82856913975307,24.463721907669573,-1,8828568139728.605,4.821428571428571,5.024435435022626,5.024435435022626,5024434497515.916,6.710339741610002
99,9.731648671249279e+18,8.571428571428571,9.731649671282087,9.731649671282087,32.80702401938069,-1,9731648671249.28,5.089285714285714,5.269027182034084,5.269027182034084,5269026244527.275,6.808156041855332
100,9.381592976670826e+18,8.571428571428571,9.381593976702009,9.381593976702009,31.18282642193702,-1,9381592976670.826,4.642857142857142,4.95755808694022,4.95755808694022,4957557149433.163,7.057864006913619
101,9.393426712546603e+18,8.571428571428571,9.39342771257673,9.39342771257673,30.126284529024137,-1,9393426712546.604,4.910714285714286,5.107825568744115,5.107825568744115,5107824631237.522,6.591614978705786
102,9.461625325303972e+18,8.571428571428571,9.461626325334821,9.461626325334821,30.849727274238575,-1,9461625325303.973,4.553571428571429,4.988293392317636,4.988293392317636,4988292454811.062,6.5737815830967135
103,1.4285714285669276e+19,14.285714285714285,14.285714285714285,14.285714285714285,45.00933463426011,0,14285714285669.275,5.178571428571429,5.4802239792687555,5.4802239792687555,5480223104260.431,8.324960845835172
104,8.895393461470558e+18,8.571428571428571,8.895394461495536,8.895394461495536,24.97847289052247,-1,8895393461470.559,5.089285714285714,5.357084189142499,5.357084189142499,5357083251635.913,6.585616054556433
105,9.667610803294267e+18,8.571428571428571,9.667611803327288,9.667611803327288,33.018883119067375,-1,9667610803294.268,5.089285714285714,5.363344124385289,5.363344124385289,5363343218126.619,8.668847348651799
106,9.562257039171105e+18,8.571428571428571,9.56225803920201,9.56225803920201,30.907206189072163,-1,9562257039171.105,5.535714285714286,5.79124561377934,5.79124561377934,5791244676272.477,6.864822044897214
107,9.358819233996227e+18,8.571428571428571,9.358820234026227,9.358820234026227,30.0006202073859,-1,9358819233996.227,5.267857142857142,5.517282400812421,5.517282400812421,5517281463305.717,6.703994851414663
108,9.161523091420079e+18,8.571428571428571,9.161524091448104,9.161524091448104,28.02511954163541,-1,9161523091420.08,5.625,5.887169923101152,5.887169923101152,5887168985594.391,6.762487666358444
109,9.078433535409461e+18,8.571428571428571,9.078434535435267,9.078434535435267,25.80555657033493,-1,9078433535409.46,5.089285714285714,5.297589387212481,5.297589387212481,5297588449705.855,6.625096678177429
110,9.557428722343545e+18,8.571428571428571,9.557429722377233,9.557429722377233,33.68821684065416,-1,9557428722343.545,5.0,5.256015232631139,5.256015232631139,5256014295124.483,6.654916264012026
111,9.36758758814138e+18,8.571428571428571,9.367588588169642,9.367588588169642,28.261381881009196,-1,9367587588141.379,5.267857142857142,5.451550228255135,5.451550228255135,5451549290748.478,6.658145621728561
112,1.2221140180270268e+19,11.428571428571429,12.22114018031529,12.22114018031529,45.02030750257549,0,12221140180270.268,5.267857142857142,5.462098291942052,5.462098291942052,5462097385684.667,7.384584843881239
113,9.159615742788636e+18,8.571428571428571,9.159616742815292,9.159616742815292,26.656020144454867,-1,9159615742788.635,5.714285714285714,5.932086791310992,5.932086791310992,5932085853804.342,6.649809026309855
114,9.364655720812906e+18,8.571428571428571,9.364656720842635,9.364656720842635,29.72819531876761,-1,9364655720812.906,4.910714285714286,5.287303413663592,5.287303413663592,5287302476156.865,6.726101511941449
115,9.086449849234217e+18,8.571428571428571,9.086450849260602,9.086450849260602,26.38513330057824,-1,9086449849234.217,4.910714285714286,5.05806999547141,5.05806999547141,5058069057965.096,6.3128028081229814
116,9.337854747739611e+18,8.571428571428571,9.337855747767858,9.337855747767858,28.246166887917816,-1,9337854747739.611,5.892857142857142,6.001957654953003,6.001957654953003,6001956717446.134,6.869024091469872
117,9.505333581616816e+18,8.571428571428571,9.5053345816476,9.5053345816476,30.784919881746166,-1,9505333581616.816,5.535714285714286,5.730244943073817,5.730244943073817,5730244005567.044,6.773540942538008
118,9.033967789212409e+18,8.571428571428571,9.033968789236885,9.033968789236885,24.476701300576504,-1,9033967789212.408,5.0892857142857135,5.296071682657514,5.296071682657514,5296070745151.155,6.359334513750729
119,1.4285714285669263e+19,14.285714285714285,14.285714285714285,14.285714285714285,45.02202491820855,0,14285714285669.264,5.446428571428571,5.618871791022165,5.618871791022165,5618870884765.189,6.974409841874497
120,9.837882540528536e+18,8.571428571428571,9.837883540562222,9.837883540562222,33.688409071649055,-1,9837882540528.535,5.178571428571429,5.411048361233302,5.411048361233302,5411047423726.678,6.624283778051787
121,9.456377391779383e+18,8.571428571428571,9.456378391810825,9.456378391810825,31.440468404145477,-1,9456377391779.383,5.535714285714286,5.777765257017952,5.777765257017952,5777764319510.078,7.87401692869081
122,9.69617743624736e+18,8.571428571428571,9.696178436279297,9.696178436279297,31.935835401022977,-1,9696177436247.36,5.357142857142858,5.655114565576826,5.655114565576826,5655113628070.279,6.546043779499562
123,9.440459205048084e+18,8.571428571428571,9.440460205078125,9.440460205078125,30.04033435707001,-1,9440459205048.084,5.5357142857142865,5.72015609060015,5.72015609060015,5720155153093.707,6.443561938976489
124,9.755125408135115e+18,8.571428571428571,9.755126408168248,9.755126408168248,33.13188865906936,-1,9755125408135.115,5.5357142857142865,5.737930962017604,5.737930962017604,5737930024509.965,7.638891135048279
125,9.391004379783543e+18,8.571428571428571,9.391005379813059,9.391005379813059,29.515137823224755,-1,9391004379783.543,5.178571428571429,5.546342219625201,5.546342219625201,5546341282118.715,6.485257682082653
