generation,rank,original_index,finished,crashes,time,dense_progress,path_file
137,1,0,0,1,26.450000762939453,77.20476422991072,trajectories/gen_0137_rank_001_idx_000_finish_0.npz
138,1,0,0,1,26.450000762939453,77.20476422991072,trajectories/gen_0138_rank_001_idx_000_finish_0.npz
139,1,0,0,1,26.450000762939453,77.20476422991072,trajectories/gen_0139_rank_001_idx_000_finish_0.npz
140,1,0,0,1,26.450000762939453,77.20476422991072,trajectories/gen_0140_rank_001_idx_000_finish_0.npz
141,1,0,0,1,26.450000762939453,77.20476422991072,trajectories/gen_0141_rank_001_idx_000_finish_0.npz
142,1,20,0,1,25.979999542236328,77.89512089320591,trajectories/gen_0142_rank_001_idx_020_finish_0.npz
143,1,0,0,1,25.979999542236328,77.89512089320591,trajectories/gen_0143_rank_001_idx_000_finish_0.npz
144,1,7,0,0,30.010000228881836,92.58990968976703,trajectories/gen_0144_rank_001_idx_007_finish_0.npz
145,1,0,0,0,30.010000228881836,92.58990968976703,trajectories/gen_0145_rank_001_idx_000_finish_0.npz
146,1,0,0,0,30.010000228881836,92.58990968976703,trajectories/gen_0146_rank_001_idx_000_finish_0.npz
147,1,0,0,0,30.010000228881836,92.58990968976703,trajectories/gen_0147_rank_001_idx_000_finish_0.npz
148,1,0,0,0,30.010000228881836,92.58990968976703,trajectories/gen_0148_rank_001_idx_000_finish_0.npz
149,1,0,0,0,30.010000228881836,92.58990968976703,trajectories/gen_0149_rank_001_idx_000_finish_0.npz
150,1,0,0,0,30.010000228881836,92.58990968976703,trajectories/gen_0150_rank_001_idx_000_finish_0.npz
151,1,0,0,0,30.010000228881836,92.58990968976703,trajectories/gen_0151_rank_001_idx_000_finish_0.npz
152,1,0,0,0,30.010000228881836,92.58990968976703,trajectories/gen_0152_rank_001_idx_000_finish_0.npz
