generation,progress_p10,progress_p25,progress_p75,progress_p90,progress_mean_all,progress_mean_parent,progress_mean_elite,progress_best,finish_count,best_finished_time,penalized_p25,penalized_p75,penalized_mean_all,penalized_mean_parent,penalized_mean_elite,best_finished_time_so_far
12,3.0885086059570317,4.856635502406529,9.166601725987027,9.729879924229214,7.099722850890387,9.476181949887957,9.807846886771065,9.873158591134208,0,,30.0,30.0,30.0,30.0,30.0,
13,3.0462875366210938,4.469387871878489,9.212194170270648,9.60790170942034,6.515543574378603,9.422933374132429,9.807846886771065,9.873158591134208,0,,30.0,30.0,30.0,30.0,30.0,
14,3.025987352643694,4.794393266950334,9.249174935477118,9.76823425292969,6.8564382053556905,9.5188307762146,9.91877828325544,10.08324486868722,0,,30.0,30.0,30.0,30.0,30.0,
15,4.103293827601841,5.045701435634068,9.34469086783273,9.826094491141182,6.857980262665521,9.585917336600167,10.01359122140067,10.197304316929408,0,,30.0,30.0,30.0,30.0,30.0,
16,4.371157509940011,5.025238309587752,9.22182764325823,9.67428970336914,6.880010196140835,9.50270754950387,10.01359122140067,10.197304316929408,0,,30.0,30.0,30.0,30.0,30.0,
17,3.0888355800083707,5.185907908848354,9.30799961090088,9.680401938302177,7.332907744816372,9.579334769930158,10.016766956874303,10.197304316929408,0,,30.0,30.0,30.0,30.0,30.0,
18,3.988872528076172,5.306151253836496,9.422249112810405,9.732743399483818,7.3317640735989515,9.632601397378105,10.047899654933385,10.197304316929408,0,,30.0,30.0,30.0,30.0,30.0,
19,3.338997977120536,4.836105619158064,9.170896666390556,9.61217144557408,6.863527070908319,9.507734094347272,10.047899654933385,10.197304316929408,0,,30.0,30.0,30.0,30.0,30.0,
20,3.625944410051618,4.801172528948102,9.100846563066753,9.646529606410436,6.952696243921916,9.466400487082346,10.047899654933385,10.197304316929408,0,,30.0,30.0,30.0,30.0,30.0,
21,3.894235338483538,5.017514910016741,9.171287672860283,9.814013617379324,7.045731601260957,9.572501182556152,10.047899654933385,10.197304316929408,0,,30.0,30.0,30.0,30.0,30.0,
