generation,progress_p10,progress_p25,progress_p75,progress_p90,progress_mean_all,progress_mean_parent,progress_mean_elite,progress_best,finish_count,best_finished_time,penalized_p25,penalized_p75,penalized_mean_all,penalized_mean_parent,penalized_mean_elite,best_finished_time_so_far
117,3.9875373840332036,11.008543287004741,25.569483198246413,27.61699727713329,18.703147720567983,30.54096641664344,43.533131756209464,71.40343803664108,0,,30.0,30.0,30.0,30.0,30.0,
118,4.082902090890067,11.104519707815989,25.56445447939334,29.078307833557677,18.519431672111097,32.48535218038925,50.54043889924272,71.40343803664108,0,,30.0,30.0,30.0,30.0,30.0,
119,3.756723676409041,3.953944614955357,20.533331462315147,28.110696222323377,14.25553834244714,29.691595735872397,50.54043889924272,71.40343803664108,0,,30.0,30.0,30.0,30.0,30.0,
120,3.763471875871931,4.230149132864815,16.85821124485561,24.13220103042237,14.803060146620794,27.299299311278748,50.54043889924272,71.40343803664108,0,,30.0,30.0,30.0,30.0,30.0,
121,4.1741485595703125,11.2045989717756,20.671288626534597,28.89741117156495,18.170099884178335,32.442388027626556,60.89208333729139,71.40657698585008,0,,30.0,30.0,30.0,30.0,30.0,
122,3.7992281232561385,9.515091351100377,25.71428571428571,56.67019653320314,21.783204932842022,44.168220085260515,73.01621896193564,83.71121196922462,0,,30.0,30.0,30.0,30.0,30.0,
123,4.054422106061663,5.490759440830775,26.04476452572117,62.021976531484505,22.98908896355096,46.24701291219611,74.98787385390341,83.71121196922462,0,,30.0,30.0,30.0,30.0,30.0,
124,3.602810995919364,4.031020573207311,21.277828897748677,61.39966147286553,21.128563598290658,46.672850680550944,74.98787385390341,83.71121196922462,0,,30.0,30.0,30.0,30.0,30.0,
125,3.7178922380719865,6.108783994402204,28.66775643767074,62.14285691295379,23.678873725059578,49.83010836986778,74.98787385390341,83.71121196922462,0,,30.0,30.0,30.0,30.0,30.0,
126,3.87645503452846,11.064676557268415,28.46553944409755,71.40437972140379,26.686060293623708,55.34339348453345,76.57974565413652,83.71121196922462,0,,30.0,30.0,30.0,30.0,30.0,
127,5.572641100202288,11.354943002973284,37.2140325818743,70.91729055311576,28.26835252344665,58.286355233619915,76.57974565413652,83.71121196922462,0,,30.0,30.0,30.0,30.0,30.0,
128,3.804276602608817,5.586802618844168,28.891033273636566,71.8339582170759,24.7598905251696,55.20085710303783,77.53723739259215,83.71121196922462,0,,30.0,30.0,30.0,30.0,30.0,
