grid,grid_x,grid_y,run_tag,run_dir,completed,expected_generations,final_generation,seed,ranking_key,population_size,elite_count,parent_count,parent_population_ratio_actual,elite_parent_ratio_actual,mutation_prob,mutation_sigma,fixed_fps,collision_mode,lidar_mode,binary_gas_brake,elite_cache_enabled,total_cached_evaluations,max_cached_evaluations,first_finish_generation,first_finish_generation_plot,best_finish_time,best_finish_time_plot,best_finish_generation,total_finish_individuals,total_crash_individuals,total_timeout_individuals,max_finish_count,max_best_dense_progress,max_mean_dense_progress,final_mean_dense_progress,final_std_dense_progress,last50_best_dense_progress,last50_mean_dense_progress,last50_finish_rate,last50_crash_rate,last50_timeout_rate,last50_penalized_mean_time,final_penalized_mean_time,cumulative_virtual_time_hours,cumulative_wall_minutes,compromise_score
mutation,0.125,0.25,prob_0125_sigma_0250,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0125_sigma_0250\20260504_122227_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.125,0.25,100.0,lidar,aabb_clearance,True,False,0,0,181.0,181.0,28.550000000001663,28.550000000001663,200.0,49,9282,269,5,100.0,46.52060164467368,36.32757559872864,31.57975800745352,100.0,27.53437493249169,0.020416666666666666,0.87625,0.10333333333333333,29.990987500000035,29.919583333333478,17.698877777777902,32.87640354000032,-0.6063229173417498
mutation,0.125,0.275,prob_0125_sigma_0275,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0125_sigma_0275\20260504_125526_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.125,0.275,100.0,lidar,aabb_clearance,True,False,0,0,180.0,180.0,22.45000000000071,22.45000000000071,193.0,96,9433,71,9,100.0,46.25763154610191,42.00035440948898,36.08586367733873,100.0,28.668086552852674,0.04,0.9391666666666667,0.020833333333333332,29.858316666666717,29.33729166666684,17.614400000000067,32.535186174999886,-0.6176941344714734
mutation,0.125,0.3,prob_0125_sigma_0300,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0125_sigma_0300\20260504_132807_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.125,0.3,100.0,lidar,aabb_clearance,True,False,0,0,146.0,146.0,20.180000000000355,20.180000000000355,197.0,296,9237,67,11,100.0,56.75113724504814,46.55163983292048,39.38808488656789,100.0,39.35168746592156,0.12125,0.86625,0.0125,29.39090833333347,28.88375000000026,17.972997222222293,32.87203287500015,-0.3546081253407844
mutation,0.125,0.325,prob_0125_sigma_0325,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0125_sigma_0325\20260504_140106_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.125,0.325,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9552,48,0,90.25951113019671,29.692153524185347,28.70232004382176,25.54189166232244,90.25951113019671,16.032536208360412,0.0,0.98625,0.01375,30.0,30.0,13.106247222222127,24.281552510000378,-0.8293621379163958
mutation,0.15,0.2,prob_0150_sigma_0200,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0150_sigma_0200\20260504_142532_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.15,0.2,100.0,lidar,aabb_clearance,True,False,0,0,200.0,200.0,29.62000000000183,29.62000000000183,200.0,1,9520,79,1,100.0,27.904181944450738,27.904181944450738,26.678712950576266,100.0,17.90273078322708,0.0004166666666666667,0.9725,0.027083333333333334,29.999841666666665,29.99208333333337,14.725024999999984,29.77265099833312,-0.7998268588343959
mutation,0.15,0.225,prob_0150_sigma_0225,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0150_sigma_0225\20260504_145526_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.15,0.225,100.0,lidar,aabb_clearance,True,False,0,0,171.0,171.0,21.640000000000583,21.640000000000583,200.0,247,9200,153,17,100.0,58.20975844724277,46.6317372835155,39.35865177453402,100.0,39.84659151162751,0.10291666666666667,0.8429166666666666,0.05416666666666667,29.53161250000012,28.48833333333361,19.61942222222232,30.414724459999707,-0.3550757515503915
mutation,0.15,0.25,prob_0150_sigma_0250,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0150_sigma_0250\20260504_152556_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.15,0.25,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9574,26,0,27.14285790920175,11.990931431452433,11.112776900679776,6.0236652325592415,27.14285790920175,10.316267533315875,0.0,1.0,0.0,30.0,30.0,9.779713888888823,12.400431223332998,-0.8968373246668413
mutation,0.15,0.275,prob_0150_sigma_0275,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0150_sigma_0275\20260504_153826_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.15,0.275,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9556,44,0,66.38051133520099,21.13361059645817,21.13361059645817,18.23231421646288,66.38051133520099,14.85864423527743,0.0,0.98625,0.01375,30.0,30.0,14.361680555555475,18.736951953332756,-0.8411010576472256
mutation,0.15,0.3,prob_0150_sigma_0300,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0150_sigma_0300\20260504_155716_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.15,0.3,100.0,lidar,aabb_clearance,True,False,0,0,155.0,155.0,21.060000000000493,21.060000000000493,199.0,260,9246,94,11,100.0,50.86481437794141,41.326499568229046,35.2276756811266,100.0,33.31759250829331,0.10833333333333334,0.86375,0.027916666666666666,29.453220833333454,29.079583333333463,17.886100000000027,21.02068507000028,-0.42921990825040024
mutation,0.15,0.325,prob_0150_sigma_0325,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0150_sigma_0325\20260504_161822_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.15,0.325,100.0,lidar,aabb_clearance,True,False,0,0,187.0,187.0,24.310000000001,24.310000000001,187.0,30,9501,69,5,100.0,37.38405899973845,37.38405899973845,32.0058015283409,100.0,24.387973276321148,0.0125,0.9666666666666667,0.020833333333333332,29.939133333333352,29.589791666666798,15.436983333333256,18.156220056666644,-0.7154952672367886
