#{"t_start": 1777980725.4014556, "env_id": "None"}
r,l,t,episode_metrics
-0.342468,465,33.657066,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.3275320870535716, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 10.197163664051914, 'reward': -1.0034423246837794, 'reward_score': -0.342467912946409, 'fitness': 2267421.889889908}"
0.067879,469,34.846977,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.737879071916853, 'block_progress': 0.0, 'time': 5.009999999999944, 'distance': 14.771235769323539, 'reward': -1.0031643967401411, 'reward_score': 0.06787907191687159, 'fitness': 2677764.3006810844}"
-0.224872,475,35.478089,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.4451283046177457, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 11.488050131505588, 'reward': -1.0027611287434894, 'reward_score': -0.22487169538223517, 'fitness': 2385016.8165676147}"
-0.214011,465,36.072022,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.455989292689732, 'block_progress': 0.0, 'time': 5.009999999999944, 'distance': 11.595215869718231, 'reward': -1.0029682123093377, 'reward_score': -0.21401070731024907, 'fitness': 2395877.697473863}"
0.349095,555,36.772346,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.305762154715402, 'block_progress': 2.857142857142857, 'time': 5.869999999999925, 'distance': 21.39291191517259, 'reward': -1.0029900105794272, 'reward_score': 0.3490954880487602, 'fitness': 3237040.761803488}"
0.277317,564,37.49508,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.250650678362165, 'block_progress': 2.857142857142857, 'time': 5.919999999999923, 'distance': 20.5682597324776, 'reward': -1.0035240681966144, 'reward_score': 0.2773173450288575, 'fitness': 3181430.1101024337}"
0.050208,591,38.717326,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.1368746076311385, 'block_progress': 2.857142857142857, 'time': 6.259999999999915, 'distance': 19.33527040039189, 'reward': -1.0032788376581103, 'reward_score': 0.050207940964499986, 'fitness': 3064255.2723607393}"
-0.1937,472,39.441704,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.4762998308454245, 'block_progress': 0.0, 'time': 5.009999999999945, 'distance': 11.837630707857898, 'reward': -1.001900097074962, 'reward_score': -0.193700169154557, 'fitness': 2416187.993214717}"
0.212358,560,40.182632,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.205691746303013, 'block_progress': 2.857142857142857, 'time': 5.979999999999922, 'distance': 20.239232658961555, 'reward': -1.0032406906854539, 'reward_score': 0.2123584129697056, 'fitness': 3135871.507070355}"
0.29414,481,40.791209,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.9841395786830356, 'block_progress': 2.857142857142857, 'time': 5.06999999999994, 'distance': 17.602109752690012, 'reward': -1.0033278837658113, 'reward_score': 0.2941395786830556, 'fitness': 2923421.9765732833}"
-0.047753,579,41.526864,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.0189132690429688, 'block_progress': 2.857142857142857, 'time': 6.199999999999917, 'distance': 17.966425027087098, 'reward': -1.0068410528273808, 'reward_score': -0.047753397623670146, 'fitness': 2946895.3026179424}"
-0.121098,626,42.311922,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.1389018467494423, 'block_progress': 2.857142857142857, 'time': 6.779999999999909, 'distance': 19.378706264222274, 'reward': -1.0033878290085565, 'reward_score': -0.12109815325052731, 'fitness': 3061082.468043179}"
-0.025347,593,43.66431,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.077986580984933, 'block_progress': 2.857142857142857, 'time': 6.309999999999914, 'distance': 18.600642319157487, 'reward': -1.0074514043898808, 'reward_score': -0.025346752348371915, 'fitness': 3004867.980342615}"
-0.054785,669,44.543349,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.3318819318498885, 'block_progress': 2.857142857142857, 'time': 7.159999999999897, 'distance': 21.422517313301796, 'reward': -1.0032243419828863, 'reward_score': -0.05478473481674362, 'fitness': 3250260.5093325763}"
0.079876,560,45.252991,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.0465425763811385, 'block_progress': 2.857142857142857, 'time': 5.8999999999999195, 'distance': 18.465776668934268, 'reward': -1.0035077194940476, 'reward_score': 0.07987590971449854, 'fitness': 2977524.1106044706}"
0.056506,474,45.836479,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.726505824497768, 'block_progress': 0.0, 'time': 5.009999999999941, 'distance': 14.594872279340052, 'reward': -1.0031534976050966, 'reward_score': 0.056505824497787405, 'fitness': 2666391.2296254886}"
0.365128,561,46.528957,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.3717945643833707, 'block_progress': 2.857142857142857, 'time': 6.019999999999922, 'distance': 21.84889818938973, 'reward': -1.0030772036597835, 'reward_score': 0.36512789771673004, 'fitness': 3301572.715485182}"
0.339099,543,47.786007,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.262432643345424, 'block_progress': 2.857142857142857, 'time': 5.7699999999999285, 'distance': 20.709538313152734, 'reward': -1.0028374226888024, 'reward_score': 0.3390993100121147, 'fitness': 3194711.933807112}"
0.271605,523,48.521095,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.101605006626674, 'block_progress': 2.857142857142857, 'time': 5.489999999999931, 'distance': 18.85481558222091, 'reward': -1.0029954601469497, 'reward_score': 0.27160500662669707, 'fitness': 3036686.151811092}"
-0.119439,592,49.264137,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.973894391741071, 'block_progress': 2.857142857142857, 'time': 6.279999999999914, 'distance': 17.34993284798111, 'reward': -1.002750229608445, 'reward_score': -0.11943894159223323, 'fitness': 2901077.0418082243}"
-0.398059,466,49.855603,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.2719410487583707, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 9.60457325790776, 'reward': -1.0030227079845606, 'reward_score': -0.39805895124161017, 'fitness': 2211831.4441851135}"
-0.133308,472,50.45932,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.5366919381277904, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 12.456222931068623, 'reward': -1.0032624889555428, 'reward_score': -0.13330806187219024, 'fitness': 2476579.48190486}"
-0.110114,572,51.166127,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.9132189069475447, 'block_progress': 2.857142857142857, 'time': 6.06999999999992, 'distance': 16.86194666090887, 'reward': -1.0030990019298733, 'reward_score': -0.11011442638576208, 'fitness': 2842502.0450008847}"
-0.193377,467,52.349619,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.479956490652902, 'block_progress': 0.0, 'time': 5.019999999999943, 'distance': 11.85951214126544, 'reward': -1.006454133533296, 'reward_score': -0.19337684268041233, 'fitness': 2419744.631140761}"
-0.006633,489,53.023258,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.663367135184152, 'block_progress': 0.0, 'time': 5.00999999999994, 'distance': 13.950312318193028, 'reward': -1.0026630365280875, 'reward_score': -0.006632864815828254, 'fitness': 2603253.1848718342}"
-0.295706,619,53.799936,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.937627519880022, 'block_progress': 2.857142857142857, 'time': 6.69999999999991, 'distance': 17.020977594773285, 'reward': -1.0031425984700517, 'reward_score': -0.29570581345328106, 'fitness': 2860610.498902428}"
-0.494146,467,54.374327,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.175854274204799, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 8.767692787048873, 'reward': -1.00327883765811, 'reward_score': -0.4941457257951818, 'fitness': 2115745.5065120123}"
-0.407339,671,55.208027,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.979327610560826, 'block_progress': 2.857142857142857, 'time': 7.159999999999896, 'distance': 17.603176580552827, 'reward': -1.003158947172619, 'reward_score': -0.4073390561058061, 'fitness': 2897710.007384246}"
0.141023,464,55.803825,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.811023167201451, 'block_progress': 0.0, 'time': 5.009999999999946, 'distance': 15.654606987547595, 'reward': -1.0029464140392486, 'reward_score': 0.14102316720146924, 'fitness': 2750907.512594464}"
0.095438,478,57.009407,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.765437534877232, 'block_progress': 0.0, 'time': 5.00999999999994, 'distance': 14.999511443369556, 'reward': -1.002259768531436, 'reward_score': 0.09543753487725204, 'fitness': 2705322.535365789}"
-0.048976,465,57.758465,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.6210239955357144, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 13.398059549712343, 'reward': -1.0033878290085563, 'reward_score': -0.04897600446426642, 'fitness': 2560910.5974761653}"
-0.200392,468,58.400602,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.4696077619280135, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 11.676077200099826, 'reward': -1.0032243419828866, 'reward_score': -0.20039223807196738, 'fitness': 2409496.085850814}"
-0.235128,474,59.004048,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.4348722185407365, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 11.454236449601012, 'reward': -1.0062252516973582, 'reward_score': -0.2351277814592443, 'fitness': 2374760.7643042873}"
