generation,rank,original_index,cached,evaluation_context,mirrored,evaluate_both_mirrors,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,physics_tick_mean,physics_hz_mean,physics_delay_norm_mean,terminated,truncated,front_rank,crowding,front0,priority_score,obj_finished,obj_progress
2,20,36,0,,0,0,0,0,6538165.5462495005,"[0.0, 0.0657212393624442]",6.57212393624442,5.714285714285714,6.57212393624442,2.389999999999993,0,1,0,58.38999491930008,6.5381655462495,239,1.0,100.0,0.0,1,0,15,inf,0,0.0065721239362444206,0.0,0.0657212393624442
2,21,33,0,,0,0,0,0,6493356.049584918,"[0.0, 0.06527214050292969]",6.527214050292969,5.714285714285714,6.527214050292969,2.3799999999999932,0,1,0,58.00070805102587,6.493356049584918,238,1.0,100.0,0.0,1,0,16,inf,0,0.006527214050292969,0.0,0.06527214050292969
2,22,37,0,,0,0,0,0,6259413.554548499,"[0.0, 0.06301569257463728]",6.301569257463728,5.714285714285714,6.301569257463728,3.2099999999999755,0,1,0,55.702915228903294,6.259413554548499,321,1.0,100.0,0.0,1,0,17,inf,0,0.006301569257463728,0.0,0.06301569257463728
2,23,35,0,,0,0,0,0,5766594.190056661,"[0.0, 0.0583984375]",5.83984375,5.714285714285714,5.83984375,6.31999999999991,0,1,0,49.559943339729216,5.7665941900566615,632,1.0,100.0,0.0,1,0,18,inf,0,0.00583984375,0.0,0.0583984375
2,24,42,0,,0,0,0,0,5569373.595562922,"[0.0, 0.05601021902901786]",5.601021902901786,2.857142857142857,5.601021902901786,2.159999999999998,0,1,0,48.30733886361122,5.569373595562922,216,1.0,100.0,0.0,1,0,19,inf,0,0.005601021902901786,0.0,0.05601021902901786
2,25,7,0,,0,0,0,0,5462353.1209402215,"[0.0, 0.05493300301688058]",5.493300301688058,2.857142857142857,5.493300301688058,2.0899999999999994,0,1,0,47.18074783682823,5.462353120940222,209,1.0,100.0,0.0,1,0,20,inf,0,0.005493300301688059,0.0,0.05493300301688058
2,26,44,0,,0,0,0,0,5014931.624616887,"[0.0, 0.05044473920549665]",5.044473920549665,2.857142857142857,5.044473920549665,1.9500000000000015,0,1,0,42.29593277722597,5.014931624616888,195,1.0,100.0,0.0,1,0,21,inf,0,0.005044473920549665,0.0,0.05044473920549665
2,27,41,0,,0,0,0,0,5010096.216941485,"[0.0, 0.050434385027204244]",5.0434385027204245,2.857142857142857,5.0434385027204245,2.3299999999999943,0,1,0,42.28577893972397,5.010096216941485,233,1.0,100.0,0.0,1,0,22,inf,0,0.005043438502720425,0.0,0.050434385027204244
2,28,22,0,,0,0,0,0,4923020.510021661,"[0.0, 0.04952261788504463]",4.9522617885044635,2.857142857142857,4.9522617885044635,1.9200000000000015,0,1,0,41.27848280221224,4.9230205100216615,192,1.0,100.0,0.0,1,0,23,inf,0,0.0049522617885044634,0.0,0.04952261788504463
2,29,43,0,,0,0,0,0,4827033.087471244,"[0.0, 0.04879673549107142]",4.879673549107142,2.857142857142857,4.879673549107142,4.259999999999954,0,1,0,40.46163589961361,4.827033087471244,426,1.0,100.0,0.0,1,0,24,inf,0,0.004879673549107143,0.0,0.04879673549107142
2,30,19,0,,0,0,0,0,3007331.3766150735,"[0.0, 0.030744498116629465]",3.0744498116629466,2.857142857142857,3.0744498116629466,5.709999999999923,0,1,0,18.435047874285374,3.0073313766150735,571,1.0,100.0,0.0,1,0,25,inf,0,0.003074449811662947,0.0,0.030744498116629465
2,31,11,0,,0,0,0,0,3007091.595930815,"[0.0, 0.030742100306919644]",3.0742100306919644,2.857142857142857,3.0742100306919644,5.709999999999923,0,1,0,18.434761150419945,3.0070915959308153,571,1.0,100.0,0.0,1,0,26,inf,0,0.0030742100306919646,0.0,0.030742100306919644
2,32,27,0,,0,0,0,0,3003656.460541451,"[0.0, 0.03070874895368304]",3.070874895368304,2.857142857142857,3.070874895368304,5.7199999999999225,0,1,0,18.4348268538306,3.003656460541451,572,1.0,100.0,0.0,1,0,27,inf,0,0.003070874895368304,0.0,0.03070874895368304
2,33,14,0,,0,0,0,0,3002250.4714841233,"[0.0, 0.030694689069475447]",3.0694689069475447,2.857142857142857,3.0694689069475447,5.7199999999999225,0,1,0,18.43546342253103,3.0022504714841234,572,1.0,100.0,0.0,1,0,28,inf,0,0.003069468906947545,0.0,0.030694689069475447
2,34,31,0,,0,0,0,0,3001945.295861193,"[0.0, 0.030691637311662946]",3.0691637311662947,2.857142857142857,3.0691637311662947,5.7199999999999225,0,1,0,18.435305102662824,3.001945295861193,572,1.0,100.0,0.0,1,0,29,inf,0,0.003069163731166295,0.0,0.030691637311662946
2,35,28,0,,0,0,0,0,2998684.5460245116,"[0.0, 0.03066002982003348]",3.066002982003348,2.857142857142857,3.066002982003348,5.729999999999922,0,1,0,18.435978837493167,2.9986845460245117,573,1.0,100.0,0.0,1,0,30,inf,0,0.0030660029820033484,0.0,0.03066002982003348
2,36,20,0,,0,0,0,0,2996693.545506699,"[0.0, 0.030641119820731023]",3.0641119820731024,2.857142857142857,3.0641119820731024,5.739999999999922,0,1,0,18.436566404539917,2.996693545506699,574,1.0,100.0,0.0,1,0,31,inf,0,0.0030641119820731025,0.0,0.030641119820731023
2,37,21,0,,0,0,0,0,2995222.1623890004,"[0.0, 0.030626405988420754]",3.0626405988420755,2.857142857142857,3.0626405988420755,5.739999999999922,0,1,0,18.436453076064936,2.9952221623890005,574,1.0,100.0,0.0,1,0,32,inf,0,0.0030626405988420755,0.0,0.030626405988420754
2,38,29,0,,0,0,0,0,1823635.9718290577,"[0.0, 0.018837411063058036]",1.8837411063058036,0.0,1.8837411063058036,5.009999999999938,0,1,0,5.134476746665314,1.8236359718290576,501,1.0,100.0,0.0,1,0,33,inf,0,0.0018837411063058038,0.0,0.018837411063058036
2,39,8,0,,0,0,0,0,1823625.0726047002,"[0.0, 0.018837302071707588]",1.883730207170759,0.0,1.883730207170759,5.009999999999938,0,1,0,5.134566059394274,1.8236250726047003,501,1.0,100.0,0.0,1,0,34,inf,0,0.001883730207170759,0.0,0.018837302071707588
2,40,13,0,,0,0,0,0,1823597.8247096927,"[0.0, 0.018837029593331472]",1.8837029593331471,0.0,1.8837029593331471,5.009999999999938,0,1,0,5.134623455174733,1.8235978247096927,501,1.0,100.0,0.0,1,0,35,inf,0,0.0018837029593331473,0.0,0.018837029593331472
