generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_term,best_reward,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time
44,-1000005008005.2496,0.0,0.3365107945033482,0.0,5.008002594480145,-1,336509794498.3289,0.0,0.2077969482966832,0.0,207795948291.6701,5.013052244294319
45,-1000005006976.367,0.0,0.43173653738839285,0.0,5.006973332018408,-1,431735537383.3745,0.0,0.2250892775399344,0.0,225088277534.91632,5.01811308600914
46,-1000005002865.4296,0.0,0.37466321672712055,0.0,5.002862374288623,-1,374662216722.11505,0.0,0.22884930883135116,0.0,228848308826.34103,5.010086551381882
47,-1000005009082.3107,0.0,0.40456499372209825,0.0,5.009079277986234,-1,404563993717.08624,0.0,0.24349434035164969,0.0,243493340346.63596,5.013733795216641
48,-1000005002162.2935,0.0,0.34951346261160715,0.0,5.0021593420725825,-1,349512462606.58356,0.0,0.241095849445888,0.0,241094849440.8761,5.011857043520844
49,-1000005001065.604,0.0,0.3721128191266741,0.0,5.001062691464751,-1,372111819121.67303,0.0,0.23872154099600654,0.0,238720540991.0018,5.004738703314133
50,-1000005001840.6527,0.0,0.6277193341936385,0.0,5.001838185927358,-1,627718334188.6292,0.0,0.26163765362330843,0.0,261636653618.2978,5.010671057728218
51,-1000005000546.3009,0.0,0.575915745326451,0.0,5.000543770637106,-1,575914745321.4503,0.0,0.24893266814095633,0.0,248931668135.94885,5.007490994632778
52,-1000005006870.5817,0.0,0.5704280308314732,0.0,5.006867713679054,-1,570427030826.4636,0.0,0.24600795337132045,0.0,246006953366.30624,5.014198029214187
53,-1000005006038.5217,0.0,0.42705535888671875,0.0,5.006035995690183,-1,427054358881.7051,0.0,0.24396147046770367,0.0,243960470462.69293,5.01072494367217
54,-1000005001162.7719,0.0,0.4425593784877232,0.0,5.001160268963333,-1,442558378482.71783,0.0,0.22662213870457237,0.0,226621138699.56488,5.007523883241069
55,-1000005002271.1063,0.0,0.37732260567801335,0.0,5.002268354835768,-1,377321605673.0038,0.0,0.24365612438746864,0.0,243655124382.4604,5.008228787510036
56,-1000005000262.7535,0.0,0.42632511683872765,0.0,5.000260072733505,-1,426324116833.72736,0.0,0.25459630148751394,0.0,254595301482.50244,5.0115262591748335
57,-1000005009636.8564,0.0,0.42461940220424105,0.0,5.009634174263398,-1,424618402199.2147,0.0,0.22068381309509277,0.0,220682813090.07083,5.021926335849692
58,-1000005005200.7756,0.0,0.4253605433872768,0.0,5.005198125567815,-1,425359543382.2544,0.0,0.23154309817722868,0.0,231542098172.2157,5.012964483851406
59,-1000005006485.6503,0.0,0.49248831612723215,0.0,5.006482867687918,-1,492487316122.216,0.0,0.22848827498299734,0.0,228487274977.98343,5.013902808896507
60,-1000005000322.2485,0.0,0.3144291469029018,0.0,5.0003194694482165,-1,314428146897.8989,0.0,0.21118743079049246,0.0,211186430785.48672,5.005744727100711
61,-1000005002508.6146,0.0,0.37308829171316965,0.0,5.002505834550777,-1,373087291708.1635,0.0,0.22142018590654647,0.0,221419185901.53638,5.010047132523778
62,-1000005006863.9736,0.0,0.369856698172433,0.0,5.006861280757925,-1,369855698167.42377,0.0,0.22334439413888113,0.0,223343394133.8723,5.0088005696217754
63,-1000005006788.1056,0.0,0.4041399274553571,0.0,5.0067854234558675,-1,404138927450.339,0.0,0.22106272833687918,0.0,221061728331.86847,5.010706427923771
64,-1000005008116.5265,0.0,0.4213224138532366,0.0,5.008113608722913,-1,421321413848.22845,0.0,0.23356897490365164,0.0,233567974898.63702,5.014605855855665
65,-1000005004862.2074,0.0,0.4091753278459821,0.0,5.004859472813437,-1,409174327840.9594,0.0,0.23575374058314733,0.0,235752740578.1363,5.0110475331958435
66,-1000005001261.213,0.0,0.3561510358537946,0.0,5.001258537878341,-1,356150035848.79333,0.0,0.21312730652945383,0.0,213126306524.43918,5.014642163186936
67,-1000005005737.3871,0.0,0.37264687674386165,0.0,5.005734624038766,-1,372645876738.8441,0.0,0.22474374089922222,0.0,224742740894.2096,5.012642840281377
68,-1000005005093.9579,0.0,0.4175676618303571,0.0,5.0050912728557515,-1,417566661825.3296,0.0,0.22353836468287877,0.0,223537364677.8609,5.01784428594331
69,-1000005009285.3854,0.0,0.39666857038225445,0.0,5.009282708612829,-1,396667570377.2452,0.0,0.23998532976422993,0.0,239984329759.21762,5.012297829173292
70,-1000005000232.068,0.0,0.54962158203125,0.0,5.000229421171579,-1,549620582026.2324,0.0,0.2636734076908656,0.0,263672407685.85437,5.011282177728751
71,-1000005002685.221,0.0,0.5186026436941964,0.0,5.002682566911927,-1,518601643689.1871,0.0,0.2526053360530308,0.0,252604336048.01904,5.011772388440433
