generation,rank,original_index,finished,crashes,time,dense_progress,path_file
42,1,0,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0042_rank_001_idx_000_finish_0.npz
42,2,1,0,1,26.829999923706055,75.0,trajectories/gen_0042_rank_002_idx_001_finish_0.npz
43,1,0,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0043_rank_001_idx_000_finish_0.npz
43,2,44,0,0,45.0099983215332,81.53667887863296,trajectories/gen_0043_rank_002_idx_044_finish_0.npz
44,1,0,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0044_rank_001_idx_000_finish_0.npz
44,2,1,0,0,45.0099983215332,81.53667887863296,trajectories/gen_0044_rank_002_idx_001_finish_0.npz
45,1,0,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0045_rank_001_idx_000_finish_0.npz
45,2,1,0,0,45.0099983215332,81.53667887863296,trajectories/gen_0045_rank_002_idx_001_finish_0.npz
46,1,0,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0046_rank_001_idx_000_finish_0.npz
46,2,1,0,0,45.0099983215332,81.53667887863296,trajectories/gen_0046_rank_002_idx_001_finish_0.npz
47,1,0,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0047_rank_001_idx_000_finish_0.npz
47,2,1,0,0,45.0099983215332,81.53667887863296,trajectories/gen_0047_rank_002_idx_001_finish_0.npz
48,1,47,1,0,43.52000045776367,100.0,trajectories/gen_0048_rank_001_idx_047_finish_1.npz
48,2,0,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0048_rank_002_idx_000_finish_0.npz
49,1,0,1,0,43.52000045776367,100.0,trajectories/gen_0049_rank_001_idx_000_finish_1.npz
49,2,1,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0049_rank_002_idx_001_finish_0.npz
50,1,0,1,0,43.52000045776367,100.0,trajectories/gen_0050_rank_001_idx_000_finish_1.npz
50,2,1,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0050_rank_002_idx_001_finish_0.npz
51,1,0,1,0,43.52000045776367,100.0,trajectories/gen_0051_rank_001_idx_000_finish_1.npz
51,2,1,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0051_rank_002_idx_001_finish_0.npz
52,1,0,1,0,43.52000045776367,100.0,trajectories/gen_0052_rank_001_idx_000_finish_1.npz
52,2,1,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0052_rank_002_idx_001_finish_0.npz
53,1,0,1,0,43.52000045776367,100.0,trajectories/gen_0053_rank_001_idx_000_finish_1.npz
53,2,1,0,1,35.9900016784668,89.78673328052868,trajectories/gen_0053_rank_002_idx_001_finish_0.npz
54,1,0,1,0,43.52000045776367,100.0,trajectories/gen_0054_rank_001_idx_000_finish_1.npz
54,2,16,0,1,31.299999237060547,92.25750990013324,trajectories/gen_0054_rank_002_idx_016_finish_0.npz
55,1,0,1,0,43.52000045776367,100.0,trajectories/gen_0055_rank_001_idx_000_finish_1.npz
55,2,43,0,0,45.0099983215332,97.72727272727273,trajectories/gen_0055_rank_002_idx_043_finish_0.npz
56,1,0,1,0,43.52000045776367,100.0,trajectories/gen_0056_rank_001_idx_000_finish_1.npz
56,2,1,0,0,45.0099983215332,97.72727272727273,trajectories/gen_0056_rank_002_idx_001_finish_0.npz
57,1,0,1,0,43.52000045776367,100.0,trajectories/gen_0057_rank_001_idx_000_finish_1.npz
57,2,1,0,0,45.0099983215332,97.72727272727273,trajectories/gen_0057_rank_002_idx_001_finish_0.npz
58,1,0,1,0,43.52000045776367,100.0,trajectories/gen_0058_rank_001_idx_000_finish_1.npz
58,2,1,0,0,45.0099983215332,97.72727272727273,trajectories/gen_0058_rank_002_idx_001_finish_0.npz
59,1,0,1,0,43.52000045776367,100.0,trajectories/gen_0059_rank_001_idx_000_finish_1.npz
59,2,1,0,0,45.0099983215332,97.72727272727273,trajectories/gen_0059_rank_002_idx_001_finish_0.npz
60,1,0,1,0,43.52000045776367,100.0,trajectories/gen_0060_rank_001_idx_000_finish_1.npz
60,2,1,0,0,45.0099983215332,97.72727272727273,trajectories/gen_0060_rank_002_idx_001_finish_0.npz
61,1,0,1,0,43.52000045776367,100.0,trajectories/gen_0061_rank_001_idx_000_finish_1.npz
61,2,1,0,0,45.0099983215332,97.72727272727273,trajectories/gen_0061_rank_002_idx_001_finish_0.npz
62,1,41,1,0,37.52000045776367,100.0,trajectories/gen_0062_rank_001_idx_041_finish_1.npz
62,2,38,1,0,41.31999969482422,100.0,trajectories/gen_0062_rank_002_idx_038_finish_1.npz
63,1,0,1,0,37.52000045776367,100.0,trajectories/gen_0063_rank_001_idx_000_finish_1.npz
63,2,1,1,0,41.31999969482422,100.0,trajectories/gen_0063_rank_002_idx_001_finish_1.npz
64,1,0,1,0,37.52000045776367,100.0,trajectories/gen_0064_rank_001_idx_000_finish_1.npz
64,2,1,1,0,41.31999969482422,100.0,trajectories/gen_0064_rank_002_idx_001_finish_1.npz
