candidate_id,architecture,activation,parameter_count,best_val_loss,loss_increase_pct,best_val_steer_mae,best_val_gas_accuracy,best_val_brake_accuracy,best_epoch,params_saved_vs_best_pct,score_loss_times_log_params
c022_arch_32x16_act_relu_tanh,32x16,"relu,tanh",1699,0.0669091884880506,18.897169353899447,0.22468175376882252,0.9221771965371155,0.9607662552956345,119,86.86103162941767,0.7179670489742571
c018_arch_24x12_act_relu_tanh,24x12,"relu,tanh",1179,0.06895263592832149,22.528361449661773,0.2337496285500898,0.9216246085835329,0.9627003131331737,120,90.88237568633517,0.7035477400994297
c034_arch_32x16x8_act_tanh_tanh_tanh,32x16x8,"tanh,tanh,tanh",1811,0.0690810352874013,22.756526230709294,0.23100714438482858,0.9184932768465648,0.9550561797752809,120,85.9948959863893,0.7476343974732685
c017_arch_24x12_act_relu_relu,24x12,"relu,relu",1179,0.06983946788994992,24.10425576721156,0.23080878293762375,0.9142567692024314,0.9561613556824461,119,90.88237568633517,0.7125963952240898
c023_arch_32x16_act_tanh_tanh,32x16,"tanh,tanh",1699,0.0705138835887879,25.302687841664074,0.23797261155009555,0.9180327868852459,0.9555166697365998,120,86.86103162941767,0.7566471221063731
c019_arch_24x12_act_tanh_tanh,24x12,"tanh,tanh",1179,0.07068562802002122,25.607876518845284,0.237841603505192,0.9179406888929821,0.9531221219377417,120,90.88237568633517,0.7212300614974538
c010_arch_32_act_relu,32,relu,1219,0.07111377779275678,26.36869573049758,0.24252997254508485,0.9272425861116228,0.962976607109965,120,90.57304152811074,0.7290216421952004
c013_arch_16x8_act_relu_relu,16x8,"relu,relu",723,0.07185953329211771,27.693898141522986,0.2350686017618058,0.9153619451095966,0.9487935163013447,119,94.40878509009357,0.6825112002809901
c007_arch_24_act_relu,24,relu,915,0.07237178077078982,28.604158400226652,0.24629735041990927,0.9213483146067416,0.9632529010867563,120,92.92398113061635,0.711966652084079
c015_arch_16x8_act_tanh_tanh,16x8,"tanh,tanh",723,0.07332517831644798,30.29833930436294,0.2469037221619428,0.9161908270399706,0.9507275741388838,120,94.40878509009357,0.6964316795676437
c014_arch_16x8_act_relu_tanh,16x8,"relu,tanh",723,0.0733921117209163,30.417279505347782,0.2453309848045508,0.9152698471173328,0.9543193958371707,120,94.40878509009357,0.6970674031262264
c011_arch_32_act_tanh,32,tanh,1219,0.0751940884446764,33.61937979288832,0.25622591758920554,0.9245717443359734,0.9608583532878984,120,90.57304152811074,0.7708508750732207
c008_arch_24_act_tanh,24,tanh,915,0.07640912389147016,35.77848945410067,0.25739190380400684,0.9214404125990053,0.961779333210536,120,92.92398113061635,0.7516845315438814
c005_arch_16_act_tanh,16,tanh,611,0.07752358149973854,37.75887298560458,0.2603368978733998,0.9218088045680605,0.9534905139067968,120,95.27492073312196,0.7174829616147509
c004_arch_16_act_relu,16,relu,611,0.07816920527592397,38.90614201084068,0.2584262074280628,0.9044022840302082,0.9555166697365998,120,95.27492073312196,0.7234582281087013
c040_arch_128x64_act_sigmoid_sigmoid,128x64,"sigmoid,sigmoid",12931,0.07861152539559108,39.692141831868085,0.2583692251680788,0.9021919322158777,0.9525695339841591,120,0.0,1.0737191536477255
c032_arch_64x32_act_sigmoid_sigmoid,64x32,"sigmoid,sigmoid",4419,0.08115609725643903,44.2138285883356,0.26131353907041466,0.9102965555350894,0.9430834407809909,120,65.82630887015699,0.9827601018612341
c002_arch_8_act_tanh,8,tanh,307,0.08131646495164922,44.4988008835788,0.26505567206711067,0.9149014551482778,0.9461226745256953,120,97.62586033562755,0.6718443459207458
c001_arch_8_act_relu,8,relu,307,0.08705196684018136,54.690748428902936,0.26841520266235147,0.8681156750782832,0.8881930373917849,120,97.62586033562755,0.7192316065095982
c028_arch_48x24_act_sigmoid_sigmoid,48x24,"sigmoid,sigmoid",2931,0.0880278763007033,56.42493285145758,0.26573303975899104,0.8727205746914717,0.8747467305212746,120,77.33353955610548,1.0138326545330287
c012_arch_32_act_sigmoid,32,sigmoid,1219,0.09045176189217828,60.73216093442178,0.27240103782925035,0.8747467305212746,0.8888377233376312,120,90.57304152811074,0.9272646460472733
c009_arch_24_act_sigmoid,24,sigmoid,915,0.09507677892521833,68.95078450269656,0.27332532864772807,0.8621293055811383,0.874194142567692,120,92.92398113061635,0.9353299761506901
c024_arch_32x16_act_sigmoid_sigmoid,32x16,"sigmoid,sigmoid",1699,0.09759381023295832,73.42353188505162,0.26742593059444936,0.8621293055811383,0.874194142567692,120,86.86103162941767,1.047227466278783
c036_arch_32x16x8_act_sigmoid_sigmoid_sigmoid,32x16x8,"sigmoid,sigmoid,sigmoid",1811,0.09842240297815202,74.89593551416307,0.2642053789274757,0.8621293055811383,0.874194142567692,118,85.9948959863893,1.0651834275833711
c006_arch_16_act_sigmoid,16,sigmoid,611,0.09998273359003329,77.66863231711491,0.28198920106070985,0.8621293055811383,0.874194142567692,120,95.27492073312196,0.925343055864333
c020_arch_24x12_act_sigmoid_sigmoid,24x12,"sigmoid,sigmoid",1179,0.10000085320579652,77.700830750136,0.26877107056361094,0.8621293055811383,0.874194142567692,120,90.88237568633517,1.0203435058536363
c003_arch_8_act_sigmoid,8,sigmoid,307,0.10032289233528727,78.27309207601476,0.2828046314227557,0.8621293055811383,0.874194142567692,120,97.62586033562755,0.8288772516360043
c016_arch_16x8_act_sigmoid_sigmoid,16x8,"sigmoid,sigmoid",723,0.10117024483958931,79.7788316684841,0.2769880057654782,0.8621293055811383,0.874194142567692,120,94.40878509009357,0.9608999957944876
