term,progress,dense_progress,time,distance,reward,steps,reward_mode,seed,source_policy
-1,28.57142857142857,29.592225211007257,6.711449240229143,263.7724083289504,0.30311617856776285,315,terminal_progress_time_efficiency,5,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_progress_time_efficiency\20260430_114840_tm2d_ga_AI_Training_5\best_policy.pt
-1,22.857142857142858,24.316280909946986,5.937821992654499,215.7866597995162,0.24919358302569822,268,terminal_progress_time_efficiency,6,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_progress_time_efficiency\20260430_114840_tm2d_ga_AI_Training_5\best_policy.pt
-1,22.857142857142858,24.423261369977677,5.9670345945668375,217.51176584511995,0.2502853903102034,276,terminal_progress_time_efficiency,7,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_progress_time_efficiency\20260430_114840_tm2d_ga_AI_Training_5\best_policy.pt
-1,22.857142857142858,24.523533412388392,5.992754635633696,219.04730381071568,0.25130895625098404,279,terminal_progress_time_efficiency,8,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_progress_time_efficiency\20260430_114840_tm2d_ga_AI_Training_5\best_policy.pt
-1,65.71428571428571,67.14876174926758,12.046758107029415,679.1795376688242,0.6855369469449747,556,terminal_progress_time_efficiency,9,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_progress_time_efficiency\20260430_114840_tm2d_ga_AI_Training_5\best_policy.pt
-1,65.71428571428571,66.2991578238351,11.706156697523129,648.97993221879,0.6770065228204014,540,terminal_progress_time_efficiency,10,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_progress_time_efficiency\20260430_114840_tm2d_ga_AI_Training_5\best_policy.pt
-1,22.857142857142858,24.571008682250977,6.010310091248612,220.0665017068386,0.2517927281511841,285,terminal_progress_time_efficiency,11,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_progress_time_efficiency\20260430_114840_tm2d_ga_AI_Training_5\best_policy.pt
1,100.0,100.0,16.014231577427044,1058.7163057550788,2.0184036624905226,725,moo_trackmania_racing,0,Experiments\runs\ga_moo_trackmania_racing_20260430_120449\20260430_120457_tm2d_ga_moo_AI_Training_5_trackmania_racing\best_policy.pt
1,100.0,100.0,16.011937043880096,1058.3988180607557,2.018405119337219,741,moo_trackmania_racing,1,Experiments\runs\ga_moo_trackmania_racing_20260430_120449\20260430_120457_tm2d_ga_moo_AI_Training_5_trackmania_racing\best_policy.pt
1,100.0,100.0,16.02788548729502,1060.0657022371888,2.0183949933414,740,moo_trackmania_racing,2,Experiments\runs\ga_moo_trackmania_racing_20260430_120449\20260430_120457_tm2d_ga_moo_AI_Training_5_trackmania_racing\best_policy.pt
1,100.0,100.0,16.02700680310017,1059.9385168775916,2.018395551236127,749,moo_trackmania_racing,3,Experiments\runs\ga_moo_trackmania_racing_20260430_120449\20260430_120457_tm2d_ga_moo_AI_Training_5_trackmania_racing\best_policy.pt
1,100.0,100.0,16.00823576018447,1058.122137889266,2.018407469358613,725,moo_trackmania_racing,4,Experiments\runs\ga_moo_trackmania_racing_20260430_120449\20260430_120457_tm2d_ga_moo_AI_Training_5_trackmania_racing\best_policy.pt
-1,80.0,80.62647410801479,13.744583092650322,836.225953489542,0.8222648303627869,646,moo_trackmania_racing,5,Experiments\runs\ga_moo_trackmania_racing_20260430_120449\20260430_120457_tm2d_ga_moo_AI_Training_5_trackmania_racing\best_policy.pt
1,100.0,100.0,16.029760248642514,1060.2712939083576,2.018393803016735,733,moo_trackmania_racing,6,Experiments\runs\ga_moo_trackmania_racing_20260430_120449\20260430_120457_tm2d_ga_moo_AI_Training_5_trackmania_racing\best_policy.pt
1,100.0,100.0,16.010274172767343,1058.274432323873,2.0184061751284017,738,moo_trackmania_racing,7,Experiments\runs\ga_moo_trackmania_racing_20260430_120449\20260430_120457_tm2d_ga_moo_AI_Training_5_trackmania_racing\best_policy.pt
1,100.0,100.0,16.035641593009466,1060.854189068079,2.0183900688298353,748,moo_trackmania_racing,8,Experiments\runs\ga_moo_trackmania_racing_20260430_120449\20260430_120457_tm2d_ga_moo_AI_Training_5_trackmania_racing\best_policy.pt
1,100.0,100.0,15.998802501026049,1057.1484165042639,2.018413458729507,742,moo_trackmania_racing,9,Experiments\runs\ga_moo_trackmania_racing_20260430_120449\20260430_120457_tm2d_ga_moo_AI_Training_5_trackmania_racing\best_policy.pt
1,100.0,100.0,16.052058947081804,1062.5056152641773,2.018379645112964,740,moo_trackmania_racing,10,Experiments\runs\ga_moo_trackmania_racing_20260430_120449\20260430_120457_tm2d_ga_moo_AI_Training_5_trackmania_racing\best_policy.pt
1,100.0,100.0,16.01754983105597,1059.0035796314478,2.0184015556628214,752,moo_trackmania_racing,11,Experiments\runs\ga_moo_trackmania_racing_20260430_120449\20260430_120457_tm2d_ga_moo_AI_Training_5_trackmania_racing\best_policy.pt
