candidate_index,candidate_id,architecture,activation,requested_activation,hidden_dims,hidden_activations,parameter_count,epochs,best_epoch,final_train_loss,final_train_eval_loss,best_val_loss,best_val_steer_mae,best_val_gas_accuracy,best_val_brake_accuracy,best_val_gas_bce,best_val_brake_bce,best_val_gas_mae,best_val_brake_mae,train_samples,val_samples,wall_seconds,random_seed
17,arch_16x8_act_relu_relu,16x8,"relu,relu","relu,relu","[16, 8]","[""relu"", ""relu""]",723,80,80,0.08298277120689818,0.08279064427855032,0.08039630463953769,0.251175249977695,0.8648001473567877,0.874194142567692,0.26496093210363325,0.2115194363189152,0.18659999845304154,0.14953997491319046,43898,10858,64.625187299971,52968
18,arch_16x8_act_sigmoid_sigmoid,16x8,"sigmoid,sigmoid",sigmoid,"[16, 8]","[""sigmoid"", ""sigmoid""]",723,80,80,0.11101657972829403,0.11095127720643602,0.10607254023456644,0.2857662530471484,0.8621293055811383,0.874194142567692,0.39894277980521275,0.373608462519355,0.24861736090325107,0.2187521585466937,43898,10858,63.424120100040454,52969
19,arch_24x12_act_tanh_tanh,24x12,"tanh,tanh",tanh,"[24, 12]","[""tanh"", ""tanh""]",1179,80,80,0.07992191615639757,0.07981348068372031,0.07646313581535404,0.25440327223986636,0.9133357892797938,0.9481488303554982,0.2402545214358077,0.1404130127267913,0.15097958783810037,0.08948323194834382,43898,10858,63.359002400015015,52970
20,arch_24x12_act_relu_relu,24x12,"relu,relu",relu,"[24, 12]","[""relu"", ""relu""]",1179,80,80,0.07401808250631481,0.07379310036821406,0.07275509183238632,0.23473238562940343,0.912414809357156,0.9463068705102229,0.23396196995986543,0.15581040409613015,0.15648638334781959,0.10862532099388124,43898,10858,64.10503000003519,52971
21,arch_24x12_act_relu_tanh,24x12,"relu,tanh","relu,tanh","[24, 12]","[""relu"", ""tanh""]",1179,80,80,0.07469917909604193,0.07451655563358957,0.07108955334362173,0.2373551884986876,0.9079941057284951,0.9519248480383128,0.23698450869498583,0.14305989126141153,0.15852636174616355,0.09871607534704034,43898,10858,60.679857400013134,52972
22,arch_24x12_act_tanh_tanh,24x12,"tanh,tanh","tanh,tanh","[24, 12]","[""tanh"", ""tanh""]",1179,80,80,0.0798672137383888,0.07982569127084128,0.0759501660434465,0.253928920361499,0.9149014551482778,0.9551482777675446,0.23836801345889838,0.1443247911920862,0.15344468751079274,0.0990865991620162,43898,10858,56.97996540000895,52973
23,arch_24x12_act_relu_relu,24x12,"relu,relu","relu,relu","[24, 12]","[""relu"", ""relu""]",1179,80,80,0.07325100556204023,0.07297327125217493,0.073280496536851,0.2355955513521856,0.9125990053416836,0.948240928347762,0.24216740415513044,0.15034215607066073,0.16413348470741618,0.10426663623415627,43898,10858,64.89511720003793,52974
24,arch_24x12_act_sigmoid_sigmoid,24x12,"sigmoid,sigmoid",sigmoid,"[24, 12]","[""sigmoid"", ""sigmoid""]",1179,80,80,0.10895125976203107,0.10887394326636882,0.10433720339478698,0.2788736930449467,0.8621293055811383,0.874194142567692,0.3977292886995044,0.37455064004507044,0.24678466482086941,0.21214697193673443,43898,10858,67.9093854999519,52975
25,arch_32x16_act_tanh_tanh,32x16,"tanh,tanh",tanh,"[32, 16]","[""tanh"", ""tanh""]",1699,80,80,0.07763903628451074,0.07749344835573733,0.07392814552466674,0.2503672958320622,0.920795726653159,0.9540431018603794,0.2247230247319085,0.13176250756390737,0.14282515492968895,0.08173771856634365,43898,10858,64.20998630003305,52976
26,arch_32x16_act_relu_relu,32x16,"relu,relu",relu,"[32, 16]","[""relu"", ""relu""]",1699,80,79,0.06964674246186814,0.06948169987365116,0.07025728591279137,0.23158937862815723,0.9184932768465648,0.957819119543194,0.21829596881511615,0.12462392945077938,0.13485885285654875,0.07168588095507057,43898,10858,58.57353029999649,52977
27,arch_32x16_act_relu_tanh,32x16,"relu,tanh","relu,tanh","[32, 16]","[""relu"", ""tanh""]",1699,80,80,0.07025839467665955,0.07005309602678911,0.06930232426396257,0.23452821184552863,0.9176643949161908,0.958187511512249,0.21582867124722266,0.12389377854678002,0.14265668148449012,0.08023430765784013,43898,10858,49.49813530000392,52978
