step,time,x,y,z,speed,progress,dense_progress,physics_hz,physics_delay_norm,action
19.0,0.19000000000000003,335.9108581542969,0.0,529.805419921875,10.869620323181152,1.5897696358816966,1.5897696358816966,100.0,0.0,[0.8591712  0.19689074 0.9694692 ]
20.0,0.20000000000000004,335.90008544921875,0.0,529.9151000976562,11.018489837646484,1.5995625087193082,1.5995625087193082,100.0,0.0,[0.85716015 0.19248274 0.97249764]
21.0,0.21000000000000005,335.8885803222656,0.0,530.0261840820312,11.167143821716309,1.6094807216099332,1.6094807216099332,100.0,0.0,[0.8550402  0.18812619 0.9752497 ]
22.0,0.22000000000000006,335.8763122558594,0.0,530.138671875,11.315583229064941,1.6195242745535716,1.6195242745535716,100.0,0.0,[0.85280424 0.1838188  0.9777441 ]
23.0,0.23000000000000007,335.8632507324219,0.0,530.2525634765625,11.463809967041016,1.629693167550223,1.629693167550223,100.0,0.0,[0.85044414 0.17955863 0.9800115 ]
24.0,0.24000000000000007,335.849365234375,0.0,530.3678588867188,11.611823081970215,1.6399874005998885,1.6399874005998885,100.0,0.0,[0.84857684 0.17766468 0.9812806 ]
25.0,0.25000000000000006,335.83465576171875,0.0,530.4845581054688,11.759623527526855,1.6504069737025668,1.6504069737025668,100.0,0.0,[0.8460985  0.17433324 0.9829835 ]
26.0,0.26000000000000006,335.8191223144531,0.0,530.6026000976562,11.907210350036621,1.6609464372907365,1.6609464372907365,100.0,0.0,[0.84330547 0.17004691 0.9847752 ]
27.0,0.2700000000000001,335.802734375,0.0,530.7220458984375,12.054584503173828,1.6716112409319195,1.6716112409319195,100.0,0.0,[0.8403484  0.16580391 0.9864015 ]
28.0,0.2800000000000001,335.78546142578125,0.0,530.8428344726562,12.20174789428711,1.6823959350585938,1.6823959350585938,100.0,0.0,[0.8372076 0.1615972 0.9878776]
29.0,0.2900000000000001,335.76727294921875,0.0,530.9649658203125,12.348699569702148,1.693300519670759,1.693300519670759,100.0,0.0,[0.8338651  0.15742111 0.9892167 ]
30.0,0.3000000000000001,335.7481689453125,0.0,531.0884399414062,12.495439529418945,1.7043249947684154,1.7043249947684154,100.0,0.0,[0.8303035  0.15327589 0.990429  ]
31.0,0.3100000000000001,335.7281188964844,0.0,531.2132568359375,12.641968727111816,1.7154693603515625,1.7154693603515625,100.0,0.0,[0.826545   0.14951463 0.99148744]
32.0,0.3200000000000001,335.7071228027344,0.0,531.3394165039062,12.788287162780762,1.7267336164202007,1.7267336164202007,100.0,0.0,[0.789991   0.22733192 0.98263437]
33.0,0.3300000000000001,335.6851501464844,0.0,531.4668579101562,12.934393882751465,1.7381123134068082,1.7381123134068082,100.0,0.0,[0.79838777 0.14370917 0.99488753]
34.0,0.34000000000000014,335.66217041015625,0.0,531.5956420898438,13.080291748046875,1.7496109008789062,1.7496109008789062,100.0,0.0,[0.79706806 0.1420985  0.9951634 ]
35.0,0.35000000000000014,335.63818359375,0.0,531.7257080078125,13.225979804992676,1.761223929268973,1.761223929268973,100.0,0.0,[0.7954173  0.14017272 0.9954132 ]
36.0,0.36000000000000015,335.6131591796875,0.0,531.8570556640625,13.371458053588867,1.772951398577009,1.772951398577009,100.0,0.0,[0.79373634 0.13826898 0.9956518 ]
