generation,finish_count,best_finish_time,mean_penalized_time,std_penalized_time,p10_penalized_time,p25_penalized_time,median_penalized_time,p75_penalized_time,p90_penalized_time,best_finish_time_so_far
165,12,21.7400000000006,28.533125000000243,2.7524883864798677,22.78100000000076,29.320000000000366,30.0,30.0,30.0,21.7400000000006
166,9,21.7400000000006,28.7802083333335,2.700228763135158,23.0270000000008,30.0,30.0,30.0,30.0,21.7400000000006
167,11,21.7400000000006,28.394583333333514,2.9908338847864835,22.632000000000737,30.0,30.0,30.0,30.0,21.7400000000006
168,9,21.7400000000006,28.69062500000015,2.785927737643855,22.665000000000745,30.0,30.0,30.0,30.0,21.7400000000006
169,13,21.7400000000006,28.13958333333355,3.1001236254468036,22.617000000000736,24.56250000000104,30.0,30.0,30.0,21.7400000000006
170,19,20.99000000000048,27.561666666667037,3.291117675737738,21.904000000000625,24.815000000001078,30.0,30.0,30.0,20.99000000000048
171,14,20.99000000000048,28.191666666666936,3.0603515139419812,22.213000000000672,26.900000000001405,30.0,30.0,30.0,20.99000000000048
172,16,20.99000000000048,28.191041666667015,2.975971297732686,22.222000000000676,26.322500000001316,30.0,30.0,30.0,20.99000000000048
173,7,20.99000000000048,29.117916666666805,2.4041699523372264,27.18400000000145,30.0,30.0,30.0,30.0,20.99000000000048
174,10,20.99000000000048,28.49375000000016,3.0015958429083978,22.796000000000767,30.0,30.0,30.0,30.0,20.99000000000048
175,11,20.99000000000048,28.257083333333497,3.237852914054892,21.908000000000627,30.0,30.0,30.0,30.0,20.99000000000048
176,13,20.99000000000048,28.120833333333554,3.217917826621268,22.3700000000007,26.49750000000134,30.0,30.0,30.0,20.99000000000048
177,10,20.99000000000048,28.63229166666685,2.86681315486884,23.17400000000082,30.0,30.0,30.0,30.0,20.99000000000048
178,12,20.99000000000048,28.253958333333532,3.158490369611521,22.150000000000663,29.187500000000348,30.0,30.0,30.0,20.99000000000048
179,12,20.370000000000385,28.15416666666685,3.3632070714652493,21.530000000000562,29.28750000000036,30.0,30.0,30.0,20.370000000000385
180,12,20.370000000000385,28.261458333333536,3.19755244261328,22.311000000000686,29.305000000000362,30.0,30.0,30.0,20.370000000000385
181,7,20.370000000000385,28.98354166666678,2.7185201930332585,24.284000000000997,30.0,30.0,30.0,30.0,20.370000000000385
182,12,20.370000000000385,28.097500000000178,3.374687331195514,21.29900000000053,28.782500000000283,30.0,30.0,30.0,20.370000000000385
183,11,20.370000000000385,28.311666666666834,3.2690042656575575,21.198000000000516,30.0,30.0,30.0,30.0,20.370000000000385
184,14,20.370000000000385,28.112500000000257,3.2891789122309834,21.063000000000493,27.072500000001433,30.0,30.0,30.0,20.370000000000385
185,16,20.170000000000357,27.84354166666696,3.4416835085844486,21.137000000000505,26.070000000001276,30.0,30.0,30.0,20.170000000000357
186,12,19.990000000000325,28.173125000000187,3.4215324029407466,21.132000000000502,29.630000000000415,30.0,30.0,30.0,19.990000000000325
187,15,19.990000000000325,28.095833333333626,3.3192147874993037,22.12300000000066,28.085000000001592,30.0,30.0,30.0,19.990000000000325
188,17,19.990000000000325,28.031666666667032,3.2267652360974974,22.90200000000078,25.997500000001263,30.0,30.0,30.0,19.990000000000325
189,12,19.990000000000325,28.42916666666689,3.06928590591048,23.62500000000089,29.437500000000384,30.0,30.0,30.0,19.990000000000325
190,15,19.990000000000325,28.187291666666976,3.306542592335574,21.441000000000553,28.07500000000159,30.0,30.0,30.0,19.990000000000325
191,16,19.990000000000325,27.93687500000031,3.413995799310066,21.901000000000625,26.267500000001306,30.0,30.0,30.0,19.990000000000325
192,15,19.990000000000325,27.769791666666908,3.521762395912304,21.587000000000575,24.962500000001103,30.0,30.0,30.0,19.990000000000325
193,16,19.990000000000325,27.744166666666942,3.4459322839477826,21.742000000000598,24.75250000000107,30.0,30.0,30.0,19.990000000000325
194,17,19.990000000000325,27.760625000000317,3.4917160336106,21.729000000000596,26.2125000000013,30.0,30.0,30.0,19.990000000000325
195,15,19.990000000000325,27.762083333333578,3.5384465508261744,21.208000000000517,25.242500000001147,30.0,30.0,30.0,19.990000000000325
196,11,19.990000000000325,28.35270833333351,3.2865836743132624,21.533000000000563,30.0,30.0,30.0,30.0,19.990000000000325
197,9,19.990000000000325,28.545416666666796,3.280485201875039,21.510000000000566,30.0,30.0,30.0,30.0,19.990000000000325
198,14,19.990000000000325,28.203958333333603,3.2051766329271603,22.686000000000746,27.902500000001563,30.0,30.0,30.0,19.990000000000325
199,15,19.990000000000325,28.074583333333624,3.3109257003221884,21.7200000000006,26.69250000000137,30.0,30.0,30.0,19.990000000000325
200,11,19.990000000000325,28.592708333333547,2.9268866704393934,24.37300000000101,30.0,30.0,30.0,30.0,19.990000000000325
201,17,19.990000000000325,27.873541666667006,3.3212952352852967,22.462000000000714,25.895000000001247,30.0,30.0,30.0,19.990000000000325
202,13,19.990000000000325,28.047500000000202,3.3924877179829083,21.898000000000625,25.790000000001232,30.0,30.0,30.0,19.990000000000325
203,16,19.990000000000325,27.947291666666974,3.353696182064732,21.905000000000626,26.02250000000127,30.0,30.0,30.0,19.990000000000325
204,15,19.990000000000325,28.28812500000032,3.149330389311404,22.730000000000754,29.012500000001737,30.0,30.0,30.0,19.990000000000325
205,17,19.990000000000325,27.862500000000335,3.3287619695613935,22.22700000000067,26.330000000001316,30.0,30.0,30.0,19.990000000000325
206,23,19.990000000000325,27.194166666667133,3.4903646140320603,21.512000000000565,24.295000000000996,30.0,30.0,30.0,19.990000000000325
207,11,19.990000000000325,28.47729166666686,3.161207403550512,22.111000000000658,30.0,30.0,30.0,30.0,19.990000000000325
208,13,19.990000000000325,28.082708333333546,3.42084464446949,21.90800000000063,27.38750000000148,30.0,30.0,30.0,19.990000000000325
209,13,19.990000000000325,27.958541666666857,3.45948935874386,22.31800000000069,24.912500000001096,30.0,30.0,30.0,19.990000000000325
210,12,19.990000000000325,28.177916666666857,3.4471908601624364,21.51300000000056,29.492500000000394,30.0,30.0,30.0,19.990000000000325
211,15,19.990000000000325,27.812708333333585,3.592746013139379,21.437000000000552,25.73250000000122,30.0,30.0,30.0,19.990000000000325
212,10,19.990000000000325,28.31645833333347,3.5144798628809983,20.97600000000048,30.0,30.0,30.0,30.0,19.990000000000325
213,17,19.990000000000325,27.496666666666943,3.6687028437246934,21.534000000000567,24.88750000000109,30.0,30.0,30.0,19.990000000000325
214,12,19.990000000000325,27.91208333333348,3.7231275821617995,20.496000000000404,28.782500000000283,30.0,30.0,30.0,19.990000000000325
215,13,19.990000000000325,28.25979166666691,3.2781438406404804,22.539000000000723,29.337500000001786,30.0,30.0,30.0,19.990000000000325
216,16,19.90000000000031,27.49875000000024,3.720562023516253,21.245000000000523,24.495000000001028,30.0,30.0,30.0,19.90000000000031
217,15,19.90000000000031,27.775000000000244,3.6195516527140463,20.870000000000463,25.78750000000123,30.0,30.0,30.0,19.90000000000031
218,16,19.90000000000031,27.61333333333359,3.6600559725529327,21.596000000000576,24.23750000000099,30.0,30.0,30.0,19.90000000000031
219,14,19.90000000000031,28.13062500000026,3.3489969930373933,22.204000000000672,28.20500000000161,30.0,30.0,30.0,19.90000000000031
220,22,19.90000000000031,26.855000000000373,3.74588440825367,21.379000000000545,24.030000000000957,30.0,30.0,30.0,19.90000000000031
221,13,19.90000000000031,28.0331250000002,3.4783785472122917,22.287000000000685,27.965000000001574,30.0,30.0,30.0,19.90000000000031
222,21,19.90000000000031,26.68541666666697,3.983136305273371,20.816000000000454,22.58000000000073,30.0,30.0,30.0,19.90000000000031
223,12,19.550000000000257,28.337500000000215,3.3401007345086824,21.80900000000061,29.73250000000043,30.0,30.0,30.0,19.550000000000257
224,15,19.550000000000257,27.86541666666692,3.5486176641598455,21.22200000000052,25.927500000001253,30.0,30.0,30.0,19.550000000000257
225,16,19.550000000000257,27.56708333333358,3.761651320859034,20.4730000000004,24.527500000001034,30.0,30.0,30.0,19.550000000000257
226,16,19.550000000000257,27.76291666666695,3.585201620511823,21.526000000000565,25.39500000000117,30.0,30.0,30.0,19.550000000000257
227,16,19.42000000000024,27.587291666666918,3.7605771607022724,20.77400000000045,25.46500000000118,30.0,30.0,30.0,19.42000000000024
228,13,19.42000000000024,27.947083333333524,3.643995608264923,20.51800000000041,27.56500000000151,30.0,30.0,30.0,19.42000000000024
229,14,19.42000000000024,27.77354166666687,3.7765407945979326,20.27800000000037,26.127500000001284,30.0,30.0,30.0,19.42000000000024
230,15,19.42000000000024,27.61166666666689,3.8259956946596163,20.434000000000395,25.247500000001146,30.0,30.0,30.0,19.42000000000024
231,13,19.42000000000024,28.096875000000214,3.508493359127286,21.79800000000061,29.04000000000174,30.0,30.0,30.0,19.42000000000024
232,14,19.42000000000024,27.731666666666865,3.765976706719508,20.798000000000453,24.992500000001108,30.0,30.0,30.0,19.42000000000024
233,16,19.42000000000024,27.27020833333354,4.017538368196217,20.183000000000355,23.320000000000842,30.0,30.0,30.0,19.42000000000024
234,21,19.42000000000024,26.71083333333365,4.007592707044165,19.873000000000307,23.34500000000085,30.0,30.0,30.0,19.42000000000024
235,15,19.42000000000024,27.696041666666897,3.7053732040909897,21.077000000000496,24.797500000001076,30.0,30.0,30.0,19.42000000000024
236,13,19.42000000000024,27.841041666666843,3.782727873496728,20.688000000000432,26.837500000001395,30.0,30.0,30.0,19.42000000000024
237,11,19.42000000000024,28.0910416666668,3.6147275367486653,21.7470000000006,30.0,30.0,30.0,30.0,19.42000000000024
238,15,19.42000000000024,27.45000000000019,3.945628382568685,20.85500000000046,23.377500000000854,30.0,30.0,30.0,19.42000000000024
239,18,19.42000000000024,27.35958333333363,3.6744721606946764,21.58100000000057,24.197500000000986,30.0,30.0,30.0,19.42000000000024
240,18,19.42000000000024,27.240416666666942,3.935010566659325,20.09200000000034,24.092500000000967,30.0,30.0,30.0,19.42000000000024
241,17,19.42000000000024,27.311666666666913,3.9186840549118602,20.933000000000472,23.252500000000836,30.0,30.0,30.0,19.42000000000024
242,14,19.42000000000024,27.65083333333352,3.8398398584950404,21.023000000000486,23.877500000000932,30.0,30.0,30.0,19.42000000000024
243,16,19.42000000000024,27.403125000000227,3.8879311959412526,20.33300000000038,23.79750000000092,30.0,30.0,30.0,19.42000000000024
244,16,19.42000000000024,27.60270833333359,3.784159274519109,20.591000000000417,25.107500000001124,30.0,30.0,30.0,19.42000000000024
245,18,19.42000000000024,27.358750000000295,3.7766009988036715,20.925000000000473,23.960000000000946,30.0,30.0,30.0,19.42000000000024
246,23,19.42000000000024,26.37187500000034,4.0891878045694785,20.260000000000364,22.737500000000757,30.0,30.0,30.0,19.42000000000024
247,12,19.42000000000024,28.048333333333503,3.67132431449755,20.59600000000042,29.507500000000398,30.0,30.0,30.0,19.42000000000024
248,11,19.42000000000024,28.0854166666668,3.6864125279718167,21.26300000000052,30.0,30.0,30.0,30.0,19.42000000000024
249,13,19.42000000000024,27.7995833333335,3.75851863456698,21.308000000000533,25.00250000000111,30.0,30.0,30.0,19.42000000000024
250,14,19.42000000000024,27.70083333333352,3.840424148305411,20.634000000000427,26.48250000000134,30.0,30.0,30.0,19.42000000000024
251,14,19.42000000000024,27.61812500000018,3.958763830756623,20.06400000000034,23.840000000000927,30.0,30.0,30.0,19.42000000000024
252,18,19.42000000000024,27.124791666666926,3.926640309891131,20.89900000000047,23.315000000000847,30.0,30.0,30.0,19.42000000000024
253,17,19.42000000000024,27.029375000000204,4.131977637004636,20.632000000000424,22.467500000000715,30.0,30.0,30.0,19.42000000000024
254,19,19.42000000000024,27.050000000000285,3.8849206341097,20.864000000000466,23.34750000000085,30.0,30.0,30.0,19.42000000000024
255,17,19.42000000000024,27.18312500000023,4.117626822702622,20.53000000000041,23.060000000000805,30.0,30.0,30.0,19.42000000000024
256,17,19.42000000000024,27.332708333333585,3.953018751316803,20.728000000000442,23.92000000000094,30.0,30.0,30.0,19.42000000000024
257,15,19.42000000000024,27.84229166666692,3.549288801754827,21.670000000000588,26.437500000001332,30.0,30.0,30.0,19.42000000000024
258,15,19.03000000000017,27.82000000000025,3.656394512813387,21.281000000000528,26.81750000000139,30.0,30.0,30.0,19.03000000000017
259,15,19.03000000000017,27.656875000000223,3.796629621700465,21.381000000000544,24.495000000001028,30.0,30.0,30.0,19.03000000000017
260,19,19.03000000000017,26.811458333333587,4.123070755710512,20.21800000000036,22.84250000000077,30.0,30.0,30.0,19.03000000000017
261,11,18.710000000000125,28.00812500000012,3.81640518914162,20.27800000000037,30.0,30.0,30.0,30.0,18.710000000000125
262,9,18.710000000000125,28.3556250000001,3.5665085087109016,21.151000000000508,30.0,30.0,30.0,30.0,18.710000000000125
