#{"t_start": 1777979332.50897, "env_id": "None"}
r,l,t,episode_metrics
-0.68934,987,41.644915,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.6006600516183034, 'block_progress': 2.857142857142857, 'time': 9.869999999999834, 'distance': 24.54141697166051, 'reward': -1.0028973679315474, 'reward_score': -0.6893399483816411, 'fitness': 3491935.5102013336}"
-0.15169,888,43.010551,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.8083103724888394, 'block_progress': 2.857142857142857, 'time': 8.879999999999855, 'distance': 26.888840236191754, 'reward': -1.0023633103143599, 'reward_score': -0.15168962751111215, 'fitness': 3709483.4836486047}"
-0.456256,1359,45.216591,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 5.073743547712054, 'block_progress': 2.857142857142857, 'time': 13.589999999999755, 'distance': 41.291944795055315, 'reward': -1.0032788376581099, 'reward_score': -0.4562564522878638, 'fitness': 4927802.255767262}"
-0.003551,823,46.465248,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.7397820608956476, 'block_progress': 2.857142857142857, 'time': 8.229999999999869, 'distance': 25.916692524624523, 'reward': -1.0027338809058777, 'reward_score': -0.0035512724376420834, 'fitness': 3647456.144203124}"
0.250291,875,47.785647,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 4.166957310267857, 'block_progress': 2.857142857142857, 'time': 8.749999999999858, 'distance': 30.798840573144844, 'reward': -1.002946414039248, 'reward_score': 0.25029064360123776, 'fitness': 4069426.511427285}"
0.343596,665,48.833801,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.5602624075753346, 'block_progress': 2.857142857142857, 'time': 6.649999999999903, 'distance': 23.983862246226636, 'reward': -1.00252679734003, 'reward_score': 0.34359574090870026, 'fitness': 3483738.423713089}"
0.286323,1256,50.875281,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 5.472989763532366, 'block_progress': 2.857142857142857, 'time': 12.559999999999777, 'distance': 45.58904504591192, 'reward': -1.0022706676664814, 'reward_score': 0.2863230968657735, 'fitness': 5337344.174487323}"
0.828597,892,52.185099,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 4.801930018833706, 'block_progress': 2.857142857142857, 'time': 8.919999999999854, 'distance': 37.903478662192356, 'reward': -1.0026684860956099, 'reward_score': 0.828596685500421, 'fitness': 4702692.115355046}"
-0.463769,843,53.470462,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.346230643136161, 'block_progress': 2.857142857142857, 'time': 8.429999999999865, 'distance': 21.64005654930952, 'reward': -1.0029682123093373, 'reward_score': -0.4637693568637937, 'fitness': 3251909.003079613}"
0.175764,501,54.257199,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.84576416015625, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 15.899027334933635, 'reward': -1.0032025437127976, 'reward_score': 0.17576416015627072, 'fitness': 2785648.2611289155}"
0.275926,1066,55.996418,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 4.829259599958148, 'block_progress': 2.857142857142857, 'time': 10.659999999999817, 'distance': 38.5091213709602, 'reward': -1.0019436936151411, 'reward_score': 0.2759262666248752, 'fitness': 4712621.090836779}"
0.223867,643,56.988376,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.3672005789620534, 'block_progress': 2.857142857142857, 'time': 6.429999999999907, 'distance': 21.811208411105326, 'reward': -1.0030281575520839, 'reward_score': 0.22386724562875093, 'fitness': 3292878.767753643}"
-0.015913,1372,59.100262,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 5.557419913155693, 'block_progress': 2.857142857142857, 'time': 13.719999999999752, 'distance': 48.01739689288661, 'reward': -1.0023687598818807, 'reward_score': -0.015913420177557924, 'fitness': 5410171.895758802}"
